ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
1.02,5.805,37.127,34593.792,176.029,1.3,460.079,6.44,5.8,1.2,1009419.2,4169960.8,136498.4,478873.6,1360.8,0.0,1951.8,22063.2,12659.4,23433.6,38.2,51.0,9.8,1.4,0.0,0.00249
1.06,6.272,27.353,37302.272,217.029,1.09,482.178,6.64,7.2,0.2,1008637.6,4164635.2,136630.4,478238.4,794.4,0.0,951.0,22008.0,13765.4,25331.2,44.4,43.6,10.2,2.0,0.0,0.00395
1.11,6.03,40.768,29587.456,228.957,0.99,469.102,6.52,5.2,1.0,1007460.0,4396540.8,136664.0,483613.6,348.0,0.0,363.2,22980.8,12596.2,23829.6,45.8,42.2,10.4,1.4,0.0,0.00384
1.11,5.997,33.33,39097.344,250.116,0.92,465.779,6.92,6.6,0.2,1006771.2,4861591.2,136804.0,484587.2,34.4,0.0,55.2,22227.2,12815.2,24592.8,43.0,44.0,11.2,1.8,0.0,0.00654
1.1,6.338,34.806,38320.128,247.003,0.88,457.69,6.97,6.0,0.2,1006420.8,5070412.8,136816.0,479576.0,52.0,0.0,88.0,23424.8,13285.0,25534.6,43.4,46.6,8.6,1.6,0.0,0.00249
1.3,5.681,48.106,16300.032,276.221,0.81,572.1,4.83,6.8,0.6,997647.2,4712756.0,136821.6,485628.0,100.0,0.0,257.6,25569.6,12242.0,23200.4,45.2,41.8,11.8,1.4,0.0,0.00432
1.27,5.71,34.671,20934.656,277.311,0.78,561.461,5.01,3.8,0.2,996981.6,5265663.2,136892.0,482655.2,178.4,0.0,204.0,20644.0,12001.6,22494.0,45.0,42.2,11.2,1.4,0.0,0.00204
1.39,5.927,45.331,15499.264,319.578,0.69,694.449,4.25,5.2,0.4,996572.0,5265429.6,136904.0,483888.8,50.4,0.0,51.2,22328.0,12249.2,23453.8,48.2,40.0,10.8,1.4,0.0,0.00398
1.42,5.345,41.521,12711.936,325.836,0.75,683.559,4.03,6.6,0.2,976080.0,5342015.2,136920.0,484911.2,329.6,0.0,924.6,19845.6,11377.4,21190.6,48.6,41.4,9.0,1.2,0.0,0.00502
1.27,5.321,38.392,14409.728,312.821,0.74,600.556,4.8,6.0,0.2,1046586.4,5680272.8,136929.6,486427.2,10.4,54517.6,10.4,76528.8,12953.2,21694.0,44.6,45.6,8.0,1.8,0.0,0.00333
1.33,5.834,38.953,26274.816,377.216,0.57,456.342,6.25,6.8,1.0,973668.0,5877809.6,136940.0,492591.2,4.0,0.0,4.0,23208.8,12394.6,23699.4,44.0,42.6,12.2,1.2,0.0,0.00264
1.15,4.83,49.322,19491.84,311.192,0.74,396.736,6.76,7.4,0.4,1001901.6,6033745.6,136940.0,487348.0,4.8,52428.8,4.8,70730.4,12155.4,20137.6,42.2,45.8,9.4,2.2,0.0,0.00521
0.32,6.278,20.072,1143.808,89.415,1.62,116.753,12.74,5.2,0.4,973863.2,6260386.4,136948.0,486930.4,2.4,55.2,68.0,23111.2,12807.6,24806.2,51.8,28.2,17.4,2.8,0.0,0.0022
0.7,4.217,48.807,32356.352,268.209,1.3,316.575,11.02,8.8,0.4,1237265.6,167681.6,35192.0,244362.4,2815.2,131701.6,35107.8,145136.8,17460.2,18177.4,10.6,79.8,5.6,3.8,0.0,0.01014
0.62,2.935,30.563,26129.408,138.047,1.22,168.756,13.31,11.4,0.0,1159092.8,381602.4,24937.6,234440.8,2635.2,14404.0,23440.0,26063.2,9059.0,14054.6,15.6,76.2,6.2,2.0,0.0,0.06811
0.61,4.971,22.691,58186.752,185.165,0.94,229.7,14.68,4.8,1.0,1093892.8,1674428.0,48544.8,349897.6,96.0,1868.8,3564.2,20766.4,11204.0,20847.4,16.8,68.0,12.6,2.6,0.0,0.0097
0.72,5.302,35.878,51743.744,186.622,1.57,241.666,12.9,5.0,0.2,1137693.6,3708961.6,80795.2,365149.6,6443.2,897.6,15006.4,21197.6,11638.4,20516.2,19.2,69.6,9.0,2.4,0.0,0.00445
0.71,6.725,20.233,62125.056,185.236,0.92,236.818,14.5,6.4,0.0,1120157.6,3817918.4,118856.8,386939.2,180.8,0.0,1860.0,24440.8,14506.4,27283.4,23.6,55.4,18.4,2.6,0.0,0.00543
0.69,6.252,16.865,63066.112,180.655,0.88,227.192,14.84,5.8,0.2,1091844.0,3844992.8,133188.0,407805.6,76.0,0.0,137.6,22173.6,12920.0,24570.8,23.2,57.0,17.2,2.8,0.0,0.00309
0.7,6.393,22.73,60130.304,165.367,1.04,240.224,13.48,4.2,0.2,1091280.8,3784150.4,137884.0,415797.6,1137.6,0.0,2756.8,24755.2,13323.8,25702.4,24.8,56.4,16.0,3.2,0.0,0.00241
0.77,6.16,21.853,58903.552,154.621,1.01,277.787,11.15,7.4,0.2,1049230.4,3628833.6,139469.6,424248.8,1319.2,0.0,1492.8,21444.0,12592.0,24248.6,25.6,52.0,19.4,3.2,0.0,0.00299
0.68,6.179,20.045,59849.728,174.437,0.91,218.703,14.62,5.2,0.6,1045756.0,4080378.4,140010.4,421282.4,35.2,0.0,35.2,22044.8,12931.0,25197.0,24.0,54.0,18.8,3.4,0.0,0.00353
0.81,6.616,18.974,61034.496,154.253,1.03,337.637,9.63,5.0,0.2,1045490.4,3330099.2,140229.6,424389.6,6.4,0.0,7.2,24303.2,13583.4,26456.2,28.0,51.6,18.0,2.6,0.0,0.00275
0.73,6.646,21.774,54488.064,166.25,1.02,247.105,12.82,5.0,0.0,1044459.2,4530175.2,140338.4,423948.0,944.0,0.0,1168.0,22562.4,13846.2,26535.8,25.6,55.6,15.6,3.4,0.0,0.00887
1.02,5.948,36.653,28613.632,178.949,0.89,434.86,6.36,5.2,0.0,1032936.8,3470675.2,140374.4,429763.2,36.8,0.0,36.8,23495.2,12152.4,24056.2,35.2,46.4,16.0,2.0,0.0,0.00203
1.05,6.65,25.063,26165.248,162.816,0.99,459.078,5.75,5.8,0.4,1032039.2,3202508.0,140406.4,438580.8,103.2,0.0,147.2,24708.0,13853.8,26097.8,30.8,51.2,16.0,2.4,0.0,0.00419
0.94,6.494,22.988,44451.84,155.191,0.99,412.561,7.25,5.6,0.0,1031577.6,4134801.6,140438.4,438100.8,36.8,0.0,59.2,25097.6,13827.4,26492.6,29.6,51.0,17.4,2.6,0.0,0.00358
0.98,6.802,29.556,40360.96,146.638,1.11,433.13,6.15,5.8,0.2,1029518.4,4068248.0,140896.0,453490.4,44.0,0.0,47.2,24902.4,13987.0,27110.2,30.6,50.4,16.4,3.0,0.0,0.00282
0.99,5.672,51.829,36514.816,136.905,1.21,432.76,5.88,5.2,0.0,1028485.6,3645694.4,140907.2,450977.6,200.0,0.0,230.2,23865.6,12142.6,23982.6,38.0,44.2,16.2,2.2,0.0,0.00382
1.04,5.808,24.805,36793.344,153.208,1.09,428.519,5.86,4.0,0.4,1009534.4,3736668.8,140927.2,451312.0,196.0,0.0,198.4,23255.2,12157.2,22783.2,37.2,44.4,16.0,2.2,0.0,0.00224
1.09,6.407,20.552,45171.712,203.176,0.81,450.609,6.26,4.2,0.4,1008928.0,4352944.8,140950.4,455744.0,20.0,0.0,35.6,23408.8,13673.2,25851.4,35.6,45.0,17.0,2.4,0.0,0.00256
1.05,6.788,22.404,43214.848,195.004,0.92,423.065,6.7,4.6,0.4,1008684.0,4774577.6,141024.0,450333.6,866.4,0.0,1860.0,27356.8,14529.2,27476.0,34.4,45.8,17.2,3.0,0.0,0.00258
1.01,5.51,43.762,29968.384,184.801,1.03,402.925,6.23,6.4,0.0,1105316.0,4430375.2,141128.0,462543.2,54.4,65085.6,54.4,87402.4,13459.8,23722.4,29.8,52.0,14.6,3.2,0.0,0.00782
1.34,6.205,18.686,27947.008,245.048,0.61,558.011,4.45,6.4,0.4,1001440.8,4995205.6,141135.2,460747.2,37.6,0.0,37.6,22364.0,13114.4,24978.6,34.0,44.4,19.0,2.8,0.0,0.00755
1.4,6.834,14.439,24441.856,265.926,0.55,625.694,4.01,4.2,0.2,1000980.0,4818904.8,141172.0,461872.8,16.0,0.0,16.0,23829.6,13922.6,27704.0,38.0,42.6,16.6,3.2,0.0,0.00212
1.17,5.075,16.802,12457.984,234.297,0.82,475.204,4.51,5.0,1.2,1359607.2,4922737.6,141176.0,454097.6,38.4,157286.4,38.4,174942.4,13222.0,20486.6,26.8,52.2,16.6,4.2,0.0,0.004
1.63,6.322,14.275,8300.544,314.846,0.48,773.827,3.04,4.4,0.2,1000377.6,5142512.8,141176.8,460317.6,19.2,0.0,20.0,21923.2,13741.6,25733.6,42.0,34.4,21.0,2.6,0.0,0.00512
1.48,6.184,15.062,16631.808,290.467,0.49,680.147,3.45,5.4,0.0,999968.0,5409732.0,141192.0,462397.6,34.4,0.0,34.4,22843.2,13782.2,25039.6,43.6,39.2,15.6,1.8,0.0,0.00236
1.44,6.176,15.776,26504.192,347.27,0.42,574.149,4.43,5.0,0.6,999968.0,5811499.2,141200.0,461312.0,79.2,0.0,80.0,21136.8,13139.2,24386.6,38.2,41.0,18.4,2.6,0.0,0.00205
1.38,6.942,10.659,34779.136,384.393,0.4,465.364,5.67,4.6,0.2,999456.0,5939036.8,141200.0,455986.4,20.0,0.0,23.2,24236.8,14643.4,28033.4,37.0,41.6,18.8,2.6,0.0,0.00321
1.19,6.309,15.944,26171.392,295.793,0.66,429.563,5.86,4.6,0.0,1002337.6,6116628.0,141204.0,453800.8,7.2,26214.4,58.4,47553.6,13439.8,24760.4,36.4,40.8,19.4,3.6,0.0,0.00348
0.2,6.232,21.385,1454.08,63.989,2.19,86.729,13.41,3.8,0.2,997796.0,6320164.0,141205.6,481315.2,499.2,45.6,1021.4,19719.2,12740.8,24240.2,48.4,29.2,19.0,3.4,0.0,0.00202
0.66,3.862,61.212,30597.12,215.867,1.38,256.407,11.04,7.8,2.6,1140384.8,116615.2,38110.4,262463.2,419.2,86876.8,32891.8,98048.8,13240.0,16268.6,4.4,84.0,7.0,5.2,0.0,0.01851
0.63,3.493,55.275,30402.56,224.058,1.05,250.082,12.75,8.6,0.8,1072772.0,191172.0,27549.6,280166.4,266.4,53389.6,12318.0,63615.2,11820.4,14751.8,8.2,81.4,7.4,3.2,0.0,0.01124
0.64,5.932,11.526,67741.696,156.509,0.85,198.235,14.81,4.6,0.0,1083839.2,3764733.6,49332.8,373237.6,1324.0,0.0,5884.0,20207.2,11677.6,23080.8,17.4,57.4,21.4,4.2,0.0,0.02592
0.61,6.72,8.489,54420.48,163.021,0.81,213.075,14.91,5.6,0.0,1086220.0,3641117.6,92428.8,345288.0,320.8,1690.4,1900.4,23421.6,20485.2,26284.6,12.8,66.8,17.2,3.4,0.0,0.00394
0.64,4.802,34.525,30873.6,166.413,1.73,222.863,11.18,4.8,0.4,1290866.4,2210588.8,117468.8,362566.4,227.2,101584.0,3024.4,118224.0,14484.4,20083.6,11.6,63.6,19.4,5.6,0.0,0.00239
0.65,5.833,1.748,70813.696,153.639,0.73,194.311,15.71,3.4,0.4,1062186.4,3643648.0,128128.8,374958.4,11.2,0.0,11.2,19228.0,11229.6,23473.6,17.0,51.2,28.4,3.8,0.0,0.00287
0.7,6.976,4.914,64775.168,152.058,0.84,243.678,12.92,2.4,0.8,1061696.8,3811513.6,132996.0,379539.2,75.2,0.0,331.2,22826.4,14679.4,27828.4,18.8,54.6,22.6,4.0,0.0,0.00409
0.66,6.445,5.245,65448.96,156.667,0.78,216.369,14.36,4.0,1.0,1061238.4,4054172.0,134830.4,385661.6,12.8,0.0,107.2,22271.2,13646.6,25781.6,18.2,55.2,23.4,3.4,0.0,0.00209
0.72,6.17,9.817,55736.32,143.9,0.94,235.228,11.78,5.2,0.6,1060665.6,3997256.0,135833.6,390484.8,60.0,0.0,727.2,21905.6,12734.2,25235.4,20.4,52.8,22.6,4.2,0.0,0.00209
0.72,6.372,12.442,53241.856,134.463,0.91,232.966,11.54,4.0,1.0,1060126.4,4424173.6,136078.4,397692.8,105.6,0.0,138.4,22419.2,13169.4,25591.0,19.8,56.0,20.2,4.2,0.0,0.00304
0.79,6.734,8.783,54953.984,137.471,0.97,299.225,9.65,3.6,0.0,1059555.2,4045134.4,136168.0,396647.2,96.0,0.0,200.8,22795.2,13773.2,26721.2,18.8,57.8,19.6,3.6,0.0,0.00313
1.0,6.489,13.262,47229.952,101.618,1.13,450.456,5.34,3.4,0.2,1056754.4,3319269.6,136226.4,399268.0,2584.8,0.0,2945.6,22147.2,13568.0,25414.0,24.8,51.6,20.2,3.6,0.0,0.03913
1.11,6.427,13.024,34057.216,131.899,0.93,463.526,4.8,4.0,0.2,1055376.8,3498409.6,136260.8,405111.2,342.4,0.0,500.4,23986.4,13974.8,26993.2,34.2,42.6,19.6,3.6,0.0,0.00433
1.05,6.498,14.989,46460.928,137.3,0.89,471.55,5.16,5.0,0.0,1050454.4,3080967.2,136285.6,418154.4,56.0,0.0,60.0,24162.4,13481.4,25826.4,34.2,43.8,18.6,3.4,0.0,0.00281
1.02,6.265,13.451,42076.16,129.873,0.96,445.998,5.56,5.6,0.2,1049979.2,3561523.2,136293.6,414461.6,22.4,0.0,22.4,22595.2,13391.8,25541.2,29.6,46.6,20.6,3.6,0.0,0.00296
1.02,5.677,39.659,14965.76,106.416,1.37,403.311,4.34,4.8,0.6,1133947.2,3155836.8,136328.0,412373.6,141.6,61219.2,141.6,80964.8,14015.0,23729.8,30.0,44.2,20.2,5.6,0.0,0.00344
0.96,3.84,53.777,22426.624,184.17,0.86,346.059,5.52,4.2,0.4,1664448.8,3914647.2,136336.0,416221.6,73.6,186464.8,73.6,200888.0,10925.8,15739.8,18.4,62.0,15.0,4.6,0.0,0.00391
1.06,5.277,42.594,19502.08,132.232,1.14,382.969,4.78,5.4,0.4,1129453.6,4208483.2,136340.0,415063.2,53.6,62099.2,133.6,80988.0,13013.4,21946.4,29.0,46.2,20.0,5.2,0.0,0.00319
