ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.14,8.864,44.219,20564.992,335.222,1.25,697.604,5.18
1.10,9.357,33.397,27273.216,354.044,1.23,579.329,6.25
1.02,7.967,70.625,24013.824,391.992,1.13,411.414,8.07
0.95,8.333,81.673,20182.016,304.590,1.43,457.023,7.06
0.49,6.696,119.417,10819.584,176.027,2.55,249.947,8.95
0.57,8.294,45.706,39865.344,212.146,2.25,288.726,13.32
0.57,8.577,61.159,63256.576,213.542,1.94,281.933,14.49
0.59,8.675,49.187,67729.408,218.111,2.47,283.736,15.10
0.71,9.029,60.785,59084.8,173.776,2.44,424.822,9.46
0.66,9.736,49.585,65289.216,192.293,2.30,371.526,10.85
0.68,9.122,47.268,62344.192,188.747,2.17,387.681,9.89
0.73,9.364,47.108,59510.784,169.768,2.38,438.881,8.75
0.73,9.342,41.575,56554.496,157.083,2.72,452.976,8.50
0.83,9.670,62.958,51924.992,178.776,2.47,548.871,7.14
0.86,10.267,31.641,48230.4,163.694,2.53,575.646,6.49
0.89,9.636,58.375,43214.848,182.245,2.37,577.281,6.37
0.89,10.052,62.439,45330.432,197.888,2.31,573.536,6.59
0.90,9.593,52.804,40314.88,192.753,2.18,547.023,6.69
1.00,9.173,100.024,37430.272,231.121,1.73,551.328,6.29
1.17,8.501,67.245,20249.6,274.359,1.50,659.212,4.83
1.06,9.509,53.399,45480.96,286.436,1.52,631.306,6.05
1.03,9.512,37.393,41434.112,273.974,1.48,606.716,6.01
1.16,10.007,30.566,18343.936,295.943,1.45,687.145,4.81
0.93,7.588,64.351,15222.784,285.273,1.42,522.665,5.49
1.25,9.906,22.653,23388.16,344.786,1.16,787.251,4.30
1.35,9.171,45.057,18388.992,375.044,1.06,884.65,3.82
1.22,7.987,59.875,13850.624,351.646,1.09,723.33,4.09
1.21,9.256,35.315,26190.848,326.879,1.25,798.762,4.39
1.22,9.528,53.817,23481.344,411.816,1.02,669.227,5.33
1.17,9.937,41.732,34049.024,447.704,1.02,506.16,7.11
1.02,9.147,64.726,28295.168,386.264,1.17,458.342,7.18
0.83,9.161,47.091,22320.128,263.240,1.72,427.26,7.42
0.70,7.266,33.435,36916.224,255.911,1.75,339.835,12.34
0.70,7.377,40.816,32594.944,249.408,1.76,333.371,11.70
0.77,7.557,20.410,35784.704,286.592,1.91,371.787,11.80
0.76,7.973,28.467,41788.416,275.544,1.72,355.087,12.98
0.76,7.945,29.273,41136.128,279.056,1.68,358.05,13.04
0.74,8.331,26.246,38913.024,260.943,1.78,335.619,13.06
0.75,8.908,19.153,30837.76,255.028,1.96,328.771,13.47
0.82,8.309,25.373,20836.352,263.320,1.83,388.945,11.06
0.74,8.165,22.299,39658.496,253.716,1.79,323.787,13.22
0.73,8.623,24.986,36515.84,260.728,1.85,333.802,13.28
0.72,8.571,24.809,36831.232,254.432,1.90,326.7,13.39
0.75,8.472,33.712,41347.072,276.426,1.85,350.13,13.14
0.77,8.612,31.514,41742.336,234.194,2.09,372.842,11.57
0.74,7.936,25.364,40706.048,249.633,1.91,318.738,13.37
0.81,8.222,26.192,39025.664,238.280,1.94,393.811,10.25
0.89,7.885,37.886,35361.792,227.115,2.00,472.462,8.46
0.90,8.722,38.972,29848.576,230.115,2.12,508.298,7.98
0.88,8.990,31.560,30424.064,230.207,2.18,499.894,8.26
0.95,8.300,40.424,25778.176,253.982,2.06,520.271,7.73
0.97,8.504,28.952,17311.744,259.706,1.88,501.514,7.58
0.95,8.374,27.905,28810.24,281.663,2.07,504.192,7.96
1.00,8.891,26.652,25567.232,308.278,1.70,543.791,7.74
