ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st,min,max,avg,samples/s
1.09,2.307,11.908,9735.168,405.031,0.86,437.25,11.68,10.67,0.17,1024395.33,6184063.33,9457.33,392168.67,2839.67,21929.0,4940.67,22101.5,4947.33,8114.17,42.0,42.67,15.17,0.0,0.0,0,3,0.23,94
1.1,7.764,5.33,1638.4,271.819,0.91,468.016,8.11,9.83,0.33,971502.67,5537136.0,9890.0,412523.33,583.0,83.83,2337.17,346.83,9301.17,19427.17,41.0,43.67,15.17,0.0,0.0,0,1,0.12,97
0.9,19.359,4.08,14683.136,249.573,1.03,368.429,11.08,8.83,0.0,970564.0,5462094.0,10360.0,417165.33,64.33,83.83,105.17,236.83,29668.17,64111.5,18.5,64.33,17.17,0.0,0.0,0,1,0.15,98
0.85,18.913,5.984,12956.672,214.564,1.27,356.065,11.5,8.83,0.17,969326.67,5040800.0,10712.67,426810.67,80.33,83.83,133.17,218.83,24535.33,59557.0,27.67,56.83,16.17,0.0,0.0,0,2,0.11,99
1.15,1.533,4.242,13143.04,401.433,0.81,599.368,10.05,10.83,0.0,968857.33,4390075.33,11173.33,425609.33,53.67,83.67,66.5,194.17,2979.67,5475.67,46.0,39.33,14.83,0.0,0.0,0,4,0.29,93
1.01,1.786,4.408,21062.656,325.859,0.88,444.542,12.61,11.33,0.0,968302.67,4356537.33,11477.33,427215.33,48.33,83.67,75.83,217.33,3466.83,6464.5,40.17,44.83,15.33,0.0,0.0,0,4,0.39,95
0.96,2.548,5.245,30966.784,356.247,0.88,432.136,14.11,10.83,0.17,967748.0,4455865.33,11789.33,432650.0,31.67,83.67,264.5,224.67,4641.0,8916.33,38.83,46.17,15.33,0.0,0.0,0,1,0.19,96
0.92,1.777,3.91,34764.8,368.318,0.87,386.341,16.22,11.67,0.0,905876.0,4965134.67,12072.0,429730.0,27.67,85.0,40.5,214.0,3219.5,5997.67,41.5,43.5,15.0,0.0,0.0,0,4,0.29,93
0.96,1.89,5.538,30021.632,353.145,0.89,396.176,14.64,10.0,0.0,905620.0,4290401.33,12324.0,433772.67,21.0,85.0,33.83,200.67,3202.67,6626.67,45.5,39.0,15.5,0.0,0.0,0,1,0.07,97
0.96,2.31,3.533,24827.904,374.193,0.85,406.901,15.05,11.17,0.0,905022.67,4107123.33,12631.33,433770.0,102.33,85.0,327.0,274.0,4105.0,7905.67,38.5,46.5,15.17,0.0,0.0,0,1,0.2,97
0.99,2.394,19.55,7549.952,348.142,0.83,382.037,12.61,11.17,0.5,1216454.67,2194060.0,13033.33,434791.33,58.33,128066.17,141.17,128229.33,5490.33,8362.33,31.5,53.33,15.5,0.0,0.0,0,2,0.22,96
0.97,2.737,5.08,25117.696,348.069,0.9,390.345,14.57,10.5,0.0,900552.0,3258126.67,13289.33,434708.0,34.33,86.33,62.5,252.0,4578.5,9210.5,42.5,42.5,14.83,0.0,0.0,0,10,0.31,95
0.91,2.395,14.124,27106.304,321.594,1.14,353.805,14.31,12.83,0.0,925824.67,762562.67,9120.0,337719.33,492.33,23400.33,17638.83,23552.0,5094.33,7431.0,31.0,54.0,15.0,0.0,0.0,0,5,0.37,94
0.77,17.591,5.299,29615.104,249.842,1.14,302.437,15.5,9.33,0.0,984684.0,3174036.67,3306.67,358987.33,1060.0,86.67,15907.83,225.0,24890.17,61518.67,19.83,64.83,15.33,0.17,0.0,0,6,0.22,98
0.89,2.692,24.806,18597.888,307.786,1.21,344.164,12.65,12.33,2.0,1072802.67,325977.33,2473.33,252966.0,1445.33,66817.17,31274.67,66969.67,7012.0,9811.67,23.67,61.0,15.17,0.5,0.0,0,2,0.16,97
0.77,2.27,3.953,832.709,249.931,1.32,295.534,13.46,10.5,0.17,1011931.33,6447195.33,6565.33,333713.33,1117.0,108.0,21086.0,263.17,4880.83,8641.67,63.5,21.5,15.0,0.17,0.0,0,4,0.1,97
1.15,2.538,4.747,15933.44,359.421,0.97,513.142,9.13,8.5,0.0,991344.0,6131224.67,9353.33,378976.0,5212.33,88.17,7521.0,237.17,5162.83,9347.5,56.0,29.0,14.83,0.17,0.0,0,2,0.26,97
1.19,2.277,9.04,11768.832,332.429,0.9,524.674,7.99,8.17,0.33,1081145.33,5574380.67,9680.0,389028.0,295.67,61776.17,409.5,61921.17,4874.67,7528.0,56.5,28.67,15.17,0.0,0.0,0,1,0.17,98
1.41,2.065,3.62,2944.0,408.622,0.76,794.713,5.66,8.83,0.0,944681.33,5059649.33,9954.67,390536.0,191.67,89.0,350.33,244.0,3730.17,6910.67,66.5,18.5,15.0,0.0,0.0,0,1,0.16,96
1.27,2.034,4.663,10542.08,400.808,0.93,592.222,7.85,9.17,0.17,936789.33,4925660.0,10333.33,396518.0,312.33,89.67,1295.33,243.5,3907.33,7690.83,59.17,26.0,14.83,0.0,0.0,0,1,0.11,97
1.19,2.204,3.202,22827.008,352.029,0.91,541.856,8.65,8.33,0.0,929493.33,4781249.33,10792.0,435415.33,1065.83,89.67,1474.83,247.33,3872.0,7542.33,60.83,24.33,14.83,0.0,0.0,0,1,0.16,97
1.1,2.134,12.392,9705.472,300.08,0.93,464.178,8.42,9.67,0.0,1660640.0,3697167.33,11132.0,443669.33,84.5,128125.33,101.5,128297.17,5042.0,7692.33,45.83,39.17,14.83,0.0,0.0,0,2,0.32,96
1.21,1.862,3.871,15875.072,306.637,1.04,594.362,8.02,7.5,0.0,894580.0,3657246.67,11440.0,445323.33,141.83,91.17,236.17,271.5,3567.33,6723.67,59.83,25.17,14.83,0.0,0.0,0,1,0.19,94
0.97,12.628,2.785,26558.464,219.852,1.32,448.894,9.56,8.0,0.0,894208.0,3420827.33,11724.0,441777.33,39.83,91.0,58.83,267.5,19844.5,38432.0,39.17,45.17,15.5,0.0,0.0,0,2,0.17,98
1.15,2.05,3.619,23964.672,305.574,1.13,591.03,8.51,7.5,0.17,893746.0,2763525.33,12032.0,447220.0,51.83,91.0,65.5,242.67,3580.5,6913.83,59.83,25.33,14.83,0.0,0.0,0,1,0.43,94
1.05,1.747,3.408,22369.28,319.072,1.06,458.07,11.21,8.0,0.0,893266.67,3108722.0,12286.67,446580.0,36.5,91.0,94.17,260.0,2982.83,5964.5,56.33,28.83,14.83,0.0,0.0,0,1,0.19,97
0.95,1.45,2.582,49690.624,343.234,0.97,387.999,14.52,8.33,0.0,892910.67,4246058.0,12521.33,445874.67,26.33,90.83,40.17,210.0,2270.5,5103.67,54.17,31.17,14.83,0.0,0.0,0,1,0.19,95
1.0,1.946,12.895,15290.368,327.181,0.97,380.272,10.91,9.17,0.17,1346867.33,2311204.67,12744.67,444838.0,31.0,159760.0,55.33,159883.0,4876.5,6377.0,43.0,42.17,14.83,0.0,0.0,0,1,0.11,96
0.97,1.945,3.824,33276.928,314.651,0.99,378.514,13.2,8.5,0.0,894354.67,2873387.33,11902.0,424106.0,31.67,713.5,93.33,893.83,4430.17,7010.17,49.5,35.83,15.0,0.0,0.0,0,3,0.22,97
0.88,2.594,15.962,8528.896,256.37,1.35,297.089,11.2,11.33,0.67,1102272.67,103316.0,4345.33,224413.33,8954.33,83464.83,30316.5,83576.0,8677.83,8439.5,28.0,56.67,14.83,0.67,0.0,0,27,0.6,93
0.96,1.751,11.151,26264.576,301.35,1.05,353.166,12.81,8.67,0.17,1142292.0,1537164.0,3319.33,314572.0,451.33,92346.67,11544.0,92479.83,4170.17,6077.0,48.33,36.83,14.67,0.0,0.0,0,23,0.58,92
0.57,2.068,2.956,748.589,227.66,0.85,240.806,16.09,5.33,0.17,990920.67,6349700.0,6705.33,367976.0,490.67,126.67,17542.17,279.83,4085.33,7148.33,56.0,28.0,15.0,0.5,0.0,0,13,0.36,96
1.35,1.753,2.622,14203.904,515.626,0.5,425.076,12.28,5.67,0.17,964852.0,6068856.0,8982.0,399018.0,152.67,98.33,1059.33,232.67,3514.17,6317.0,53.33,31.67,14.83,0.0,0.0,0,5,0.28,97
1.34,2.245,3.745,27941.888,525.189,0.41,499.17,9.6,4.5,0.0,978356.0,5705788.67,9901.33,416307.33,156.0,27694.67,1371.0,27959.17,4580.0,7626.0,44.0,40.67,15.17,0.17,0.0,0,1,0.18,97
1.32,2.217,6.235,7439.36,357.974,0.57,602.21,6.67,4.67,0.0,1040657.33,5100548.0,10317.33,426476.67,70.0,70231.83,125.67,70376.17,4754.67,7523.83,44.17,40.17,15.17,0.17,0.0,0,3,0.23,97
1.66,2.025,1.915,570.157,468.638,0.4,1026.048,4.49,6.17,0.0,943474.67,4419549.33,10612.0,427683.33,94.67,100.67,166.0,233.67,3811.5,6928.5,57.33,27.67,14.67,0.0,0.0,0,1,0.2,97
1.21,2.076,4.913,25860.096,358.435,0.58,554.202,7.72,4.83,0.17,1520104.67,4591795.33,10978.67,440972.0,937.33,75668.67,1015.17,75841.17,3779.33,7175.83,34.33,50.0,15.17,0.5,0.0,0,3,0.26,95
1.5,2.085,3.498,19830.784,470.662,0.45,873.738,5.4,5.17,0.0,917669.33,3860774.0,11448.0,441344.0,156.67,101.83,491.5,231.5,3859.33,7051.33,48.17,36.67,15.0,0.0,0.0,0,1,0.1,97
1.3,2.231,2.822,36798.464,393.588,0.5,615.689,7.89,5.0,0.0,916944.0,4119215.33,11859.33,444724.0,162.67,101.83,179.67,463.5,4239.83,7791.17,43.5,41.83,14.83,0.0,0.0,0,1,0.16,98
1.25,1.831,4.83,16912.384,332.379,0.65,578.587,7.48,4.83,0.0,1079284.0,3275554.0,12269.33,444191.33,81.33,86945.0,95.67,87122.83,4179.33,6518.5,41.0,43.83,15.0,0.0,0.0,0,1,0.18,97
