r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.0,0.0,1031130.4,6633750.4,138753.6,373848.8,4.8,28.8,12.0,13394.4,9775.2,17893.2,45.8,46.4,6.6,1.4,0.0
5.6,0.0,1032666.4,1588747.2,112464.0,372364.8,4.8,1640.8,4.8,13784.0,9283.6,17315.0,19.0,72.4,7.4,1.0,0.0
4.6,0.0,1078810.4,1216864.0,38400.8,396101.6,96.0,9629.6,3305.8,20086.4,8475.0,14625.2,18.6,74.4,5.0,1.6,0.0
6.4,0.6,1142933.6,1142579.2,50464.8,304012.8,18840.0,27888.0,24071.4,44588.8,15165.4,26945.2,19.0,70.6,6.8,3.8,0.0
11.6,0.0,1098995.2,4730344.0,72453.6,335363.2,2044.0,0.0,3636.6,5220.0,4348.2,6890.8,20.8,74.2,3.0,2.0,0.0
7.6,0.0,1093528.8,2706141.6,105887.2,373780.0,283.2,0.0,753.2,20111.2,16471.0,31089.2,21.0,67.4,10.0,1.6,0.0
4.4,1.2,1092151.2,4149484.0,128203.2,379494.4,33.6,0.0,33.6,22728.0,16981.6,33589.0,23.4,66.8,8.4,1.4,0.0
6.0,0.4,1091229.6,4653372.8,135713.6,380220.8,77.6,0.0,155.2,21676.8,15739.6,30655.4,24.4,66.6,8.2,1.4,0.0
6.2,0.0,1090261.6,4545320.8,138588.0,386134.4,82.4,0.0,94.4,25572.8,16837.0,34323.4,21.2,69.0,8.8,0.8,0.0
7.0,0.2,1087764.0,3045723.2,139574.4,411796.8,7.2,0.0,7.2,23148.0,16941.8,33069.6,26.2,64.8,8.0,1.4,0.0
7.4,0.4,1087396.8,3852552.0,139917.6,413006.4,12.8,0.0,13.6,25361.6,16210.4,33502.0,23.0,68.4,7.8,0.8,0.0
7.0,0.0,1087140.0,4068862.4,140046.4,413210.4,23.2,0.0,23.2,23656.8,14635.6,29065.8,24.4,68.0,7.2,0.4,0.0
6.0,0.8,1086664.0,4261924.0,140236.0,412941.6,36.8,0.0,497.4,21394.4,16348.6,31955.6,22.4,65.0,10.6,1.8,0.0
6.0,0.2,1086395.2,3626038.4,140254.4,414852.8,8.8,0.0,8.8,22449.6,17483.0,33724.0,28.2,62.4,7.6,1.8,0.0
6.4,0.0,1086107.2,3989427.2,140284.0,417345.6,16.8,0.0,16.8,22761.6,15893.4,32222.2,25.4,65.2,8.4,1.0,0.0
