ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.8,4.726,38.249,34942.976,198.892,1.04,256.12,11.95,6.6,0.2,864100.0,2810401.6,133672.8,405139.2,76.0,0.0,97.6,17468.0,9991.4,18951.0,31.4,57.6,9.2,1.6,0.0,0.33
0.67,3.007,42.47,29222.912,176.618,1.45,213.654,11.56,7.0,1.8,918932.8,313676.0,57460.8,234873.6,909.6,40475.2,15105.2,50740.8,10400.0,13852.4,12.8,76.0,6.6,4.0,0.0,0.27
0.73,3.702,37.62,28185.6,197.749,1.2,246.081,10.81,8.2,1.0,894391.2,742705.6,27699.2,274870.4,288.0,23418.4,29108.6,33855.2,9536.6,13256.8,16.4,77.4,4.2,2.2,0.0,0.51
0.73,4.096,43.099,29765.632,187.98,0.91,246.925,11.01,5.0,0.2,899605.6,823222.4,36576.0,268514.4,173.6,3128.0,19628.0,18963.2,9551.4,17510.6,20.2,65.0,12.4,2.6,0.0,0.49
0.7,4.818,24.537,45615.104,161.59,0.98,209.767,12.8,4.6,0.8,905648.8,2798404.0,76147.2,364361.6,2876.8,486.4,20300.2,17028.0,11582.4,19935.8,19.4,63.2,13.6,3.8,0.0,0.26
0.81,4.294,33.284,20655.104,181.002,1.13,235.259,11.24,4.4,0.2,903612.0,1399495.2,108587.2,358568.8,108.8,0.0,856.0,15811.2,9666.8,18090.6,21.0,59.8,17.0,2.6,0.0,0.34
0.69,5.005,19.306,43001.856,154.247,1.04,199.631,12.81,6.2,0.2,901871.2,2927658.4,125943.2,373635.2,302.4,0.0,1360.0,17391.2,11161.8,20157.6,19.6,63.0,15.0,2.6,0.0,0.32
0.71,4.949,31.084,46997.504,164.472,1.46,210.366,12.72,4.6,0.4,899720.8,4169956.0,134360.0,400260.0,3616.8,0.0,9503.4,16905.6,10758.2,19833.6,22.2,60.2,14.0,3.6,0.0,0.51
0.65,5.116,15.042,54372.352,143.088,0.82,184.4,14.24,4.4,0.2,889480.8,3395461.6,138373.6,448553.6,624.8,0.0,955.2,17274.4,10695.0,20168.2,18.0,59.2,18.8,3.6,0.0,0.31
0.63,2.711,61.358,19591.168,167.51,1.31,201.062,10.63,6.4,0.6,1004223.2,121529.6,36530.4,212742.4,2292.0,65072.0,17979.0,72488.0,11437.6,11108.8,4.8,80.2,7.0,7.8,0.0,0.36
0.64,3.903,42.993,35644.416,177.344,1.02,227.814,11.81,8.0,0.2,961012.8,1263649.6,21403.2,256988.8,1428.8,11304.8,29077.4,23740.8,9359.8,14796.2,13.0,76.2,8.0,3.4,0.0,0.44
0.6,4.76,33.502,47805.44,147.095,0.85,191.655,13.97,5.8,0.4,958925.6,3071168.0,63948.8,358948.8,473.6,632.8,15642.4,17676.8,16862.2,18947.4,13.0,72.8,11.6,2.6,0.0,0.38
0.63,5.112,27.921,52040.704,136.885,0.9,174.73,14.78,4.8,0.0,958412.0,3413128.0,106264.0,377322.4,131.2,0.0,2570.0,18596.8,11031.6,21056.8,17.4,59.6,20.0,3.6,0.0,0.39
0.63,5.577,16.317,52936.704,136.241,0.89,173.422,14.86,5.8,0.0,954060.0,4166309.6,125386.4,385338.4,264.8,0.0,443.4,19385.6,12062.8,22862.0,17.8,58.2,19.4,4.4,0.0,0.14
0.61,5.3,20.001,55781.376,139.215,0.94,176.339,14.97,4.2,0.2,952524.0,3898785.6,134369.6,392152.8,90.4,0.0,318.2,18002.4,11043.0,20752.0,17.0,61.4,18.4,3.8,0.0,0.38
0.81,4.737,28.584,32435.2,208.988,1.07,261.342,13.2,6.2,0.6,951500.0,1955732.0,138405.6,389506.4,88.0,0.0,131.2,17120.8,10747.6,19293.8,40.0,52.4,6.2,1.0,0.0,0.31
0.75,3.787,32.939,40640.512,199.525,1.56,252.341,11.81,6.6,0.6,949868.8,1155368.0,104669.6,338804.8,167.2,773.6,4840.0,16254.4,10138.2,17741.4,31.0,63.0,5.4,0.8,0.0,0.32
0.75,4.222,29.997,46872.576,196.943,1.15,245.462,13.08,6.8,0.6,882376.8,1722822.4,59072.0,416736.0,36.0,138.4,15913.4,16092.8,9984.2,17844.8,35.0,59.2,5.0,1.0,0.0,0.41
