r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
5.67,0.00,964889.33,6173416.00,8890.67,378239.33,276.17,21958.67,914.33,22147.67,4439.17,6821.17,49.33,35.83,15.00,0.00,0.00
6.17,0.00,960673.33,5718680.67,9334.67,382514.67,142.17,114.17,196.00,242.50,4331.00,8437.17,51.50,33.83,15.00,0.00,0.00
6.67,0.00,1043767.33,5166020.67,9809.33,389426.00,430.17,18191.83,528.17,18544.17,4154.33,7205.50,54.17,31.17,14.67,0.00,0.00
6.17,0.17,947794.67,4696672.00,10096.00,389651.33,73.50,116.00,116.67,224.33,3376.67,6920.00,60.17,25.33,14.67,0.00,0.00
6.33,0.33,946386.67,4470541.33,10798.00,411592.00,1367.50,115.83,2621.33,383.67,4037.83,7513.33,54.50,30.50,15.00,0.00,0.00
5.83,0.17,945746.67,4512968.67,11162.67,414156.67,50.17,115.83,97.33,232.33,3619.00,6819.50,49.83,35.67,14.83,0.00,0.00
6.67,0.00,1697386.00,3231705.33,11556.67,415952.00,178.83,102575.83,239.33,102745.67,4267.83,6566.50,41.00,44.50,14.83,0.00,0.00
6.83,0.17,920430.67,3375084.00,12005.33,415793.33,34.17,117.17,68.67,241.00,3409.50,7077.17,54.67,30.83,14.67,0.00,0.00
6.17,0.00,918480.67,2935840.00,12409.33,417442.67,70.83,118.50,170.67,407.67,3755.17,7637.83,55.67,29.67,15.00,0.00,0.00
5.67,0.00,918092.00,2336448.00,12818.67,417312.67,28.17,118.50,57.33,261.67,2467.17,4452.33,55.00,30.33,14.50,0.00,0.00
5.50,0.00,917451.33,1964395.33,13125.33,418396.67,32.83,119.83,48.50,441.67,3120.17,5777.33,51.67,33.67,14.67,0.17,0.00
5.67,0.00,916944.67,2997613.33,13514.67,423626.67,54.17,119.83,69.83,296.17,3283.67,6538.33,46.83,38.50,14.83,0.17,0.00
7.50,0.67,1095706.00,1702222.67,2116.00,281824.67,32306.83,43283.17,73755.00,43841.00,7649.50,11319.00,28.83,56.00,14.67,0.67,0.00
7.33,0.33,1288592.00,1624440.67,7338.00,298744.00,33431.83,57083.50,68329.67,57387.33,8578.67,15469.83,27.83,54.33,15.00,3.00,0.00
9.33,0.83,1613062.00,104582.00,5110.00,258499.33,8180.17,144658.67,45522.33,144829.83,12450.33,9451.83,16.67,67.83,14.67,0.83,0.00
7.33,0.50,1034184.00,6416167.33,7556.00,340512.00,13317.50,153.67,32947.33,293.50,7146.50,12681.17,54.67,30.50,14.50,0.33,0.00
6.50,0.17,1030301.33,6142085.33,8600.00,379883.33,215.00,123.67,931.50,266.17,3162.00,6128.00,60.00,25.50,14.50,0.00,0.00
7.50,0.17,1101208.00,5698833.33,8866.67,392052.00,116.33,61541.00,224.17,61683.50,4705.00,7212.17,49.00,36.00,14.67,0.17,0.00
8.67,0.17,938273.33,5008433.33,9454.67,402554.67,283.67,124.00,442.83,405.83,2794.00,4566.17,65.17,20.50,14.50,0.00,0.00
7.33,0.00,933265.33,5000842.00,9929.33,407968.00,444.83,124.67,1267.50,362.50,4245.83,8014.17,55.33,30.33,14.67,0.00,0.00
7.00,0.17,932326.67,4630463.33,10421.33,415499.33,119.67,124.67,271.33,265.17,3253.67,5594.00,56.50,29.00,14.50,0.00,0.00
6.67,0.00,931900.00,4434351.33,10772.00,421640.00,32.17,124.50,94.83,306.33,4222.00,7565.83,56.00,29.67,14.50,0.00,0.00
7.33,0.00,931686.67,3935023.33,11077.33,419826.67,31.50,124.50,48.83,277.00,3543.17,6262.17,58.17,27.17,14.67,0.00,0.00
6.83,0.00,931644.00,3077402.00,11324.00,420230.00,45.50,124.50,113.67,222.33,3058.50,5558.33,58.33,27.00,14.50,0.00,0.00
6.83,0.00,931046.67,2304922.67,11662.67,420324.00,58.17,124.33,75.33,490.17,14724.83,55316.17,46.50,37.50,16.17,0.00,0.00
6.50,0.00,922052.00,2805006.67,12080.00,422456.00,58.17,125.83,83.00,384.83,2830.83,5310.00,55.00,30.67,14.50,0.00,0.00
