stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
7168M,50,10,9.190553910516854
6912M,50,10,7.558016705691369
6656M,50,10,7.374642814992393
6400M,50,10,8.611539971301287
6144M,50,10,7.273423743970466
5888M,50,10,13.487862689154488
5632M,50,10,11.127720958447854
5376M,50,10,9.563547952703692
5120M,50,10,8.015602389387837
4864M,50,10,10.076412232984014
4608M,50,10,11.857606868932743
4352M,50,10,9.520783878508068
4096M,50,10,8.193276944707652
3840M,50,10,8.049235869479437
3584M,50,10,8.734324930708192
3328M,50,10,8.781245302839825
3072M,50,10,6.5698278577704174
2816M,50,10,6.554774769016953
2560M,50,10,7.0788618528618
2304M,50,10,6.821832830452946
2048M,50,10,7.21338194056395
1792M,50,10,8.876504898071289
1536M,50,10,6.469764112783224
1280M,50,10,8.317390526548007
1024M,50,10,7.724450515197204
768M,50,10,7.904078144776193
512M,50,10,9.1098389603842
256M,50,10,9.679602656717085
4k,50,10,7.243352184272591
7168M,30,10,7.741106710126323
6912M,30,10,7.487114597944434
6656M,30,10,7.531646208547468
6400M,30,10,8.301758667245446
6144M,30,10,6.73039112026844
5888M,30,10,6.751376229363519
5632M,30,10,7.839129641165142
5376M,30,10,6.215363400499893
5120M,30,10,6.828694245809846
4864M,30,10,7.195667344696668
4608M,30,10,6.030784526341399
4352M,30,10,5.896990278125864
4096M,30,10,5.921345218839381
3840M,30,10,7.5427967699328855
3584M,30,10,6.214039807492587
3328M,30,10,5.886810216632277
3072M,30,10,6.963445472938813
2816M,30,10,5.888264165177561
2560M,30,10,7.759928085643392
2304M,30,10,6.897943301808547
2048M,30,10,6.377398714106134
1792M,30,10,8.86645401723286
1536M,30,10,7.529746633551201
1280M,30,10,5.325168821546766
1024M,30,10,5.679406522573511
768M,30,10,5.479300979280123
512M,30,10,6.497147282179877
256M,30,10,6.352173308678927
4k,30,10,5.577597507210665
7168M,10,10,7.521321513272887
6912M,10,10,7.192539082442542
6656M,10,10,6.332404006748542
6400M,10,10,4.399103184264107
6144M,10,10,4.241122889215235
5888M,10,10,4.122224951937436
5632M,10,10,4.163223807392558
5376M,10,10,4.897590753983478
5120M,10,10,4.391593772882611
4864M,10,10,4.479499853958107
4608M,10,10,6.1607502813946295
4352M,10,10,6.078390514149386
4096M,10,10,5.259331067403157
3840M,10,10,6.446427030113123
3584M,10,10,6.01968674387114
3328M,10,10,5.022294152231895
3072M,10,10,4.857528731347676
2816M,10,10,4.7408765483750654
2560M,10,10,5.301697290017477
2304M,10,10,5.643752284516069
2048M,10,10,6.33823317150737
1792M,10,10,5.154479615057458
1536M,10,10,4.7167148485041155
1280M,10,10,4.762797363232732
1024M,10,10,5.028073619676116
768M,10,10,5.013556384721328
512M,10,10,4.971248395802765
256M,10,10,6.627125766395864
4k,10,10,4.869023507291621
7168M,0,10,7.532820030672466
6912M,0,10,8.999684551456669
6656M,0,10,4.991608793590587
6400M,0,10,4.355780087238134
6144M,0,10,4.3920202458158455
5888M,0,10,4.03672147680212
5632M,0,10,4.6917073230415065
5376M,0,10,5.258689428630628
5120M,0,10,4.404047497224493
4864M,0,10,4.853812885670527
4608M,0,10,4.3613784096457735
4352M,0,10,4.843282969202094
4096M,0,10,4.6953945369510866
3840M,0,10,3.8267073543039793
3584M,0,10,4.272594676218285
3328M,0,10,3.9415705917227983
3072M,0,10,3.780117691165269
2816M,0,10,4.201664653957183
2560M,0,10,4.383695849381665
2304M,0,10,4.599451195342854
2048M,0,10,4.186855338821037
1792M,0,10,4.819258232975312
1536M,0,10,4.807832246794161
1280M,0,10,4.97075712700586
1024M,0,10,4.260480192085488
768M,0,10,4.5437364527635085
512M,0,10,5.621682178672497
256M,0,10,4.644825881437956
4k,0,10,3.360030095138892
7168M,50,1,8.068592400563695
6912M,50,1,9.534406437769205
6656M,50,1,7.132440628251338
6400M,50,1,7.529791066882309
6144M,50,1,7.709913817653312
5888M,50,1,6.12297316250202
5632M,50,1,7.40024804774262
5376M,50,1,7.287419335395461
5120M,50,1,6.534934563314732
4864M,50,1,7.862234427258859
4608M,50,1,7.332614635518764
4352M,50,1,8.752647803647674
4096M,50,1,5.867797486922321
3840M,50,1,6.0044289585128725
3584M,50,1,6.770099527948866
3328M,50,1,7.792833102540015
3072M,50,1,7.212343983925306
2816M,50,1,8.81188897525563
2560M,50,1,7.56969807123897
2304M,50,1,7.596995591815131
2048M,50,1,7.115521606318609
1792M,50,1,8.21220972766615
1536M,50,1,8.093101292969244
1280M,50,1,8.896124804461444
1024M,50,1,7.481588704160388
768M,50,1,9.804843100315226
512M,50,1,7.0085333329494865
256M,50,1,7.4351537907981395
4k,50,1,6.0097573394163195
7168M,30,1,7.76878848594705
6912M,30,1,8.073328321105219
6656M,30,1,6.265591429069623
6400M,30,1,6.926307226714031
6144M,30,1,6.654961127684463
5888M,30,1,5.617777432027887
5632M,30,1,7.942348007181911
5376M,30,1,6.919043561854027
5120M,30,1,8.093131537701275
4864M,30,1,6.102119311917713
4608M,30,1,5.879811445871989
4352M,30,1,5.506726579928618
4096M,30,1,6.142242171991323
3840M,30,1,6.032831951885876
3584M,30,1,6.472191340486768
3328M,30,1,5.641991258563851
3072M,30,1,5.630005144044114
2816M,30,1,6.5150175405585244
2560M,30,1,6.110067037360974
2304M,30,1,5.758596084990487
2048M,30,1,15.180791178836097
1792M,30,1,7.493572533130646
1536M,30,1,7.6008667963992504
1280M,30,1,6.419794717743769
1024M,30,1,6.96765835265758
768M,30,1,7.719323748633975
512M,30,1,21.586288651116462
256M,30,1,6.868923925725318
4k,30,1,7.962911410793999
7168M,10,1,34.045885118205895
6912M,10,1,61.56946688282246
6656M,10,1,6.830156732992001
6400M,10,1,21.740136435999275
6144M,10,1,5.858715499683836
5888M,10,1,5.413225134321452
5632M,10,1,9.568191213567435
5376M,10,1,7.527360284184835
5120M,10,1,54.825881071258
4864M,10,1,9.592186737060548
4608M,10,1,5.725159002921643
4352M,10,1,5.966055571143307
4096M,10,1,5.327548344930013
3840M,10,1,5.3635099919409575
3584M,10,1,5.133859112731412
3328M,10,1,5.761854701266623
3072M,10,1,6.02856296408824
2816M,10,1,5.467066464906622
2560M,10,1,5.747144539998567
2304M,10,1,5.609093702653505
2048M,10,1,7.113288813702002
1792M,10,1,5.390840897457205
1536M,10,1,5.302426034370354
1280M,10,1,5.551311263331661
1024M,10,1,4.935372709737393
768M,10,1,5.1717916575868745
512M,10,1,5.7624706855187044
256M,10,1,5.130784968807273
4k,10,1,4.638821717017207
7168M,0,1,4.237404813193601
6912M,0,1,7.461577764949443
6656M,0,1,4.994942744572958
6400M,0,1,4.938799854168676
6144M,0,1,4.372665953410098
5888M,0,1,5.426068543309
5632M,0,1,4.223013697080498
5376M,0,1,4.391518680930487
5120M,0,1,4.440315034654406
4864M,0,1,3.8806558812706218
4608M,0,1,4.240614352840009
4352M,0,1,4.023995175457641
4096M,0,1,4.4867292849603535
3840M,0,1,6.773459965287291
3584M,0,1,4.9077855779769575
3328M,0,1,4.156575123579261
3072M,0,1,4.359776236794212
2816M,0,1,5.430993826492974
2560M,0,1,4.4110647626796835
2304M,0,1,5.428831646407859
2048M,0,1,4.5577928174394815
1792M,0,1,4.723916192802507
1536M,0,1,5.425285537857815
1280M,0,1,4.433200237576297
1024M,0,1,4.677300896149515
768M,0,1,3.813257508420368
512M,0,1,5.8182890732003925
256M,0,1,5.523862487160116
4k,0,1,4.082110075824028
