ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.64,9.916,38.423,20323.328,258.478,1.89,347.552,10.89,8.8,0.4,1693448.8,4344304.0,136962.4,503442.4,29.6,138699.2,29.6,160973.6,19414.0,37673.2,20.4,73.8,4.4,1.6,0.0,0.39633
0.86,11.098,30.482,26359.808,198.991,2.38,520.302,7.62,9.8,0.0,1303596.0,3448960.0,136976.0,507645.6,14.4,0.0,15.2,28947.2,21400.2,45411.6,31.0,61.0,6.8,1.0,0.0,0.362808
0.89,10.358,28.106,25298.944,231.258,2.07,531.667,7.45,8.0,0.0,1303596.0,4397486.4,136984.8,510515.2,14.4,0.0,14.4,30170.4,21256.4,41686.8,27.8,68.2,3.4,0.2,0.0,0.428598
0.78,10.257,34.309,24356.864,265.054,1.83,448.102,8.7,8.8,0.4,1679132.0,4533562.4,137400.0,512112.0,15.2,121378.4,15.2,145267.2,19364.4,41568.6,25.0,70.6,3.6,0.6,0.0,0.405237
0.8,11.202,27.88,23593.984,269.613,1.85,443.907,8.77,10.0,0.2,1719453.6,4800108.0,137401.6,518174.4,0.0,111325.6,0.8,136509.6,19323.2,43240.0,27.2,68.2,4.2,0.8,0.0,0.423429
0.89,11.874,33.624,30801.92,265.293,1.86,496.604,8.39,6.4,0.2,1301642.4,4880056.0,137414.4,521495.2,11.2,0.0,17.6,31244.8,21228.2,47528.6,29.4,65.2,5.0,0.6,0.0,0.427836
1.0,11.512,29.589,23770.112,298.236,1.61,579.038,7.0,7.4,0.0,1301262.4,5003841.6,137421.6,533938.4,21.6,0.0,24.0,29660.8,21861.0,47133.0,30.4,64.2,4.8,0.8,0.0,0.454635
1.02,12.365,34.594,21009.408,350.943,1.42,636.001,6.68,7.6,0.2,1300965.6,5067294.4,137440.0,534965.6,20.8,0.0,20.8,28509.6,20601.2,48149.0,32.0,63.4,4.0,0.8,0.0,0.355166
1.2,11.04,32.27,15028.224,361.279,1.27,782.971,4.95,7.4,0.6,1300338.4,4957082.4,137447.2,535275.2,8.0,0.0,8.8,25644.0,19144.6,42925.2,35.6,58.8,4.6,0.6,0.0,0.503338
1.17,12.376,26.275,11277.312,363.705,1.28,795.275,5.13,7.8,0.0,1300155.2,5172873.6,137459.2,542716.0,19.2,0.0,25.6,29857.6,21761.4,49463.0,32.2,62.8,4.6,0.6,0.0,0.382262
0.99,12.196,44.455,17010.688,291.528,1.66,603.527,6.62,8.8,0.2,1300432.0,5588787.2,137464.0,544742.4,19.2,0.0,19.2,29125.6,19344.8,49779.6,33.6,58.6,7.2,0.8,0.0,0.40039
1.05,10.508,40.222,20120.576,315.523,1.36,606.926,6.36,8.8,0.2,1300444.0,5686648.8,137799.2,543857.6,7.2,3763.2,72.8,30294.4,20234.2,40064.2,35.4,57.4,6.4,1.0,0.0,0.492446
0.93,12.356,23.187,27715.584,394.906,1.3,419.031,10.33,6.6,0.0,1300290.4,6079258.4,137804.8,549134.4,22.4,0.0,26.4,29864.8,22746.2,48867.2,27.0,67.8,4.6,0.8,0.0,0.366022
0.87,9.419,51.306,17191.936,283.082,1.56,392.675,8.89,9.4,0.2,1308802.4,6238645.6,137808.0,551224.8,13.6,26214.4,14.4,51936.8,20663.6,40966.0,28.8,58.6,11.6,1.4,0.0,0.44049
0.48,7.981,63.898,8837.12,186.867,2.24,276.422,9.32,8.2,1.0,1836666.4,132573.6,15289.6,287088.0,41411.2,174650.4,61019.0,186875.2,22533.6,28279.2,8.8,81.0,2.6,7.8,0.0,0.595563
