ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),Swap Space,Idle Memory,Buffer,Cache,Swap In,Swap Out,blocks in,blocks out,Interrupts per second,Context Switches per second,User CPU time,System CPU time,avg latency
1.14,2.303,6.704,10438.656,411,0.7,434.866,11.77,969447.33,6154440,9423.33,415100,1245.5,22044,3138.33,22341.17,5039.5,8067.17,40,45.83,0.36
0.85,3.287,15.392,17831.936,287.265,0.94,303.658,15.86,1064155.33,1576977.33,6713.33,275324,35950.5,42080.33,71474.67,42272.33,9283.5,12830,13.67,69.17,0.36
1.1,1.723,5.163,20172.8,395.683,0.71,447.96,12.45,891908,5303387.33,10760,411952,84.83,219,161.83,340.17,3091.17,6209,38,48.33,0.36
0.89,2.892,18.014,14584.832,290.219,1.32,335.97,13.03,933796,320712,4465.33,263099.33,4292.67,41709,33686.83,41842.17,6381.33,8972,30.17,56.33,0.36
0.89,2.569,12.996,24916.992,288.817,1.27,331.915,12.6,1036744,621078.67,4759.33,272959.33,1683,36380.67,30195.17,36526.5,5898,8407.67,31.17,54.67,0.35
0.96,2.074,4.37,48614.4,308.914,0.84,407.829,13.27,869417.33,2785840.67,14432.67,468217.33,60.5,157,129.83,353,3966.17,7276,40.5,45,0.35
1.28,2.275,2.622,10372.096,409.074,0.75,660.82,7.64,878822.67,5237050,5793.33,350419.33,147.83,165,375.5,269.5,4163.83,7677.67,56.83,29.17,0.35
0.98,2.362,15.37,13343.744,339.786,0.86,373.16,12.46,1522095.33,4004025.33,12485.33,362422.67,36.33,146839.17,60.17,146941,5078.5,7838,36.5,49.33,0.35
0.92,2.731,17.052,15495.168,310.757,1.54,376.163,11.77,922438,316149.33,5233.33,275489.33,2511,19271.17,38470.67,19449,6237.83,9571.5,33.33,52.83,0.35
0.9,2.338,7.57,33905.664,366.551,0.96,382.254,15.66,937673.33,3223442.67,3557.33,359468.67,918.33,212.67,14894.33,364.5,4645.33,8605.17,19.5,64.83,0.35
0.96,1.624,9.238,29349.888,354.927,0.89,387.668,14.89,862013.33,3979317.33,7866.67,416222.67,47.5,227.17,79,349,3022.17,5916.5,44.33,42.67,0.35
0.96,2.365,15.569,13925.376,362.774,0.72,391.842,12.65,1815097.33,3309456.67,12468,395120.67,65.33,120598.33,313.17,120736.67,5108.5,7926.83,25.33,58.33,0.34
0.8,2.229,3.618,787.108,284.655,1.22,327.802,13.73,1027597.33,6454910,5914.67,347895.33,720.5,168,18324.33,287.17,4469.83,8160.17,64.5,21,0.34
0.77,2.855,6.076,1454.08,249.897,1.28,285.636,14.68,934485.33,6379874,4633.33,311138.67,8469.17,186.17,16324.83,319.17,5943.17,10585.5,54.17,31.83,0.34
1.2,1.908,8.909,9224.192,375.076,0.87,577.538,8.28,914364.67,5627764.67,5319.33,342428.67,1691.83,21604.17,2691.83,21782.67,4026.17,6129.83,56.17,29.5,0.34
1.47,1.69,7.278,1560.576,474.691,0.53,837.833,6.53,910101.33,4975429.33,10316,413675.33,2786.33,177.83,4169.5,331.67,3829.67,6856.5,39.5,45.67,0.33
0.83,2.574,22.289,19677.184,281.708,0.99,300.456,13.87,1077618,494520,3530,233582,948.83,54376.33,33433,54538,7533.33,9435.33,16,67.83,0.32
1.1,2.134,12.392,9705.472,300.08,0.93,464.178,8.42,1660640,3697167.33,11132,443669.33,84.5,128125.33,101.5,128297.17,5042,7692.33,45.83,39.17,0.32
0.92,2.876,6.241,30828.544,317.919,1.06,365.347,14.43,1032497.33,3319793.33,7461.33,333404.67,14070.5,141.5,35970.33,286.17,7138.33,12311.83,38.67,47,0.32
0.93,2.763,11.99,14986.24,318.303,0.93,359.645,12.97,1409794,692973.33,3950,249992.67,373.67,119622,17288.5,119764.5,8786.17,7453.17,27.17,57.5,0.32
1.11,1.867,12.721,11231.232,259.025,0.94,489.953,9.22,892913.33,3664407.33,11396.67,402613.33,530.83,1674.5,1586.83,1847,2734.5,5665.33,41.5,44,0.32
1.17,1.674,5.914,16653.312,336.193,0.82,614.329,8.92,839667.33,3220685.33,11902,429206.67,44.83,187.17,325.33,364.33,3351.67,6091,44,42,0.32
1.19,2.465,5.246,11551.744,439.302,0.71,512.694,10.68,966381.33,6157970.67,9193.33,437262,380.33,194.17,648.5,302.67,4667.67,8611.67,46.5,39.5,0.32
1.13,1.948,9.325,10061.824,413.501,0.74,463.102,11.64,948726.67,6192706.67,4540.67,373297.33,534.83,22067.33,2982.5,22231.83,4343.5,7147.33,44.17,41.83,0.32
1.11,2.05,4.156,11128.832,356.198,0.88,548.373,9.87,697344,4009834,26184,645570.67,10,55.67,50.17,186.67,3702.5,6923.5,47.67,36.67,0.31
1.01,2.117,7.489,10937.344,366.732,0.81,418.701,13.58,697344,2411828.67,27847.33,647364,13.33,55.67,26.83,232.5,3643.17,7030.5,39.83,44.83,0.31
1.17,1.604,6.782,20158.464,454.982,0.7,552.53,10.81,971904,5129160.67,10686,373448.67,168.67,65,996.5,196,2609.5,5412.67,32.17,51.67,0.31
0.97,2.737,5.08,25117.696,348.069,0.9,390.345,14.57,900552,3258126.67,13289.33,434708,34.33,86.33,62.5,252,4578.5,9210.5,42.5,42.5,0.31
1.25,2.032,3.285,17515.52,367.259,0.58,633.616,7.57,1428494,2776058.67,12721.33,441888.67,35.33,78408.17,54.33,78661.17,4139,6745.5,38.83,46,0.31
1.42,1.811,9.828,14460.928,464.871,0.44,810.921,6.73,940764,5089768.67,10101.33,394290.67,57.33,143.17,91.17,283.67,3557.33,6630.33,42.83,42.83,0.31
0.97,14.958,8.737,569.929,233.72,0.88,420.876,7.66,1750974,731154.67,13714.67,429063.33,63.17,146261.83,125,146439.17,19441.33,48204.83,24.17,55.33,0.31
0.81,16.375,5.618,36566.016,202.365,0.99,356.938,12.02,922680,2073462,13982.67,428324.67,41.83,152,62.33,267.17,23108.67,53983.67,23.33,57.33,0.31
1.04,1.819,5.911,41287.68,330.598,0.85,493.643,11.68,870184,3131957.33,13389.33,462034.67,58.5,157.17,196.5,290.33,3522.5,6461.33,41,44.5,0.31
1.26,2.024,4.451,11902.976,435.515,0.72,648.103,8.51,859108,5318626,11196.67,365711.33,33.67,170.67,72.17,318.33,3508.5,7257.33,53,33.5,0.31
1.13,1.541,4.952,14812.16,334.093,0.94,544.754,10.07,858416,4384723.33,11924,363486,44.33,172.33,77.5,288.83,3048.33,5525.83,50,35.83,0.31
0.92,1.658,4.413,40852.48,354.175,0.84,373.186,16.12,870360.67,4396544.67,12286.67,395572.67,59.67,192.17,136.5,330.5,3259.5,5951.83,41,45.17,0.31
0.94,1.595,4.326,36878.336,363.076,0.81,389.479,15.67,941016,3835223.33,7590,329777.33,7867.83,193,19287.5,354.67,5058.67,8454.5,34.83,51.17,0.31
1.18,1.532,9.611,12954.624,372.81,0.86,616.387,9.61,871040,3926228.67,6236,409184,76.17,223.67,186.67,380.83,2905.17,5432,47.17,39.17,0.31
0.91,4.093,11.057,30261.248,276.804,1.1,324.891,13.15,1288592,1624440.67,7338,298744,33431.83,57083.5,68329.67,57387.33,8578.67,15469.83,27.83,54.33,0.3
1.15,1.533,4.242,13143.04,401.433,0.81,599.368,10.05,968857.33,4390075.33,11173.33,425609.33,53.67,83.67,66.5,194.17,2979.67,5475.67,46,39.33,0.29
0.92,1.777,3.91,34764.8,368.318,0.87,386.341,16.22,905876,4965134.67,12072,429730,27.67,85,40.5,214,3219.5,5997.67,41.5,43.5,0.29
0.97,1.835,7.37,51392.512,327.551,0.86,416.227,13.05,921757.33,3558407.33,12337.33,422912.67,26.17,127.17,64.67,377.67,3213.5,6409.67,44.67,40.67,0.29
1.1,2.503,4.747,15232,306.119,1.05,504.287,10.1,928903.33,3652418,11105.33,398676.67,70.83,137,90.67,523.67,4311.5,8664.67,55.33,30.33,0.29
0.77,15.4,4.115,26850.304,226.598,1.31,276.268,16.09,860568.67,5408336,7813.33,355153.33,53.17,169.33,77,325.83,22908.33,51277.67,31.17,55,0.29
0.9,2.09,15.046,23232.512,293.653,0.91,322.564,14.72,967469.33,609420.67,13271.33,427050.67,54.17,60473.33,104.17,60638.5,5768.33,6364.17,31.67,54,0.29
0.83,2.406,25.395,8135.68,265.432,1.14,282.218,12.66,1168106.67,102066.67,2607.33,215113.33,1207.33,95761.17,27064.5,95907,8957.17,8009.83,9.33,75.67,0.29
1.11,1.536,5.579,21495.808,352.61,0.81,575.824,10.19,890500,4078776,11538.67,415958,156.17,218.67,248.5,370.67,2882.17,5439.67,40.33,45.83,0.29
0.96,2.006,4.66,29067.264,343.684,0.89,425.442,13.92,697344,4322690,26449.33,645644,12.67,55.67,21.5,187.33,3436.67,6689.83,39.17,45.17,0.28
0.67,2.032,7.407,810.882,308.265,0.78,299.03,17.17,936148,6343877.33,7862,350148.67,375.67,91.17,15870.5,246.17,4251.33,7785.17,35.17,47.33,0.28
