ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.15,10.664,24.013,3502.08,340.599,1.43,726.173,5.60
1.01,11.175,20.483,19486.72,318.960,1.53,610.932,6.86
0.87,8.120,30.316,18081.792,325.743,1.55,409.672,9.54
0.89,10.913,37.307,17168.384,303.688,1.63,451.679,8.88
0.65,8.741,34.760,29437.952,262.739,1.83,346.479,12.47
0.62,10.344,35.826,27305.984,238.819,1.88,324.355,12.97
0.64,10.697,33.103,41527.296,242.627,1.86,317.742,14.31
0.62,12.412,29.640,38114.304,230.403,2.09,305.983,15.15
0.63,11.555,31.816,42416.128,243.844,2.07,319.052,14.59
0.62,11.881,26.725,43945.984,233.672,2.11,307.865,15.06
0.63,11.751,28.267,40300.544,228.859,2.01,297.692,14.03
0.63,12.619,28.810,47798.272,233.689,2.07,306.977,14.10
0.60,12.463,34.771,52840.448,233.948,2.16,304.05,15.31
0.65,11.588,25.554,45321.216,219.901,2.35,376.028,12.20
0.58,11.416,53.541,49379.328,213.546,2.35,279.888,15.66
0.61,11.973,33.858,47392.768,206.769,2.41,332.766,13.81
0.87,11.308,35.639,19236.864,196.836,2.47,532.123,7.42
0.82,11.497,30.963,28662.784,200.088,2.40,498.695,8.09
0.83,12.065,29.986,26378.24,196.112,2.60,536.706,7.65
0.85,11.836,30.817,28113.92,214.115,2.31,544.956,7.58
1.01,10.321,28.548,32453.632,300.355,1.79,539.797,7.26
0.82,10.590,37.876,24861.696,283.177,1.73,470.147,8.28
0.94,11.099,42.613,27811.84,261.329,1.78,511.413,7.75
1.09,10.629,42.345,26174.464,330.965,1.44,652.218,6.08
1.07,11.233,40.529,24690.688,333.052,1.47,671.821,6.35
0.83,11.307,21.482,21026.816,289.804,1.73,474.439,8.37
1.16,11.095,23.706,16360.448,360.697,1.25,761.054,5.26
1.30,11.305,25.558,6924.288,355.129,1.18,831.004,4.44
1.13,9.454,55.336,8492.032,312.046,1.39,658.641,5.27
0.89,10.028,22.958,19013.632,248.962,1.77,454.429,8.01
0.92,11.186,22.941,29621.248,377.752,1.32,393.844,10.69
0.82,10.445,28.315,16663.552,268.004,1.82,435.39,8.66
0.51,7.011,108.711,10858.496,189.071,2.21,276.083,8.84
0.58,10.952,37.235,48837.632,219.302,1.98,288.728,15.27
0.58,11.959,34.331,41368.576,229.799,2.11,312.132,14.67
0.59,11.451,48.388,44525.568,234.961,2.05,314.177,14.63
0.64,9.598,34.621,30514.176,281.331,1.70,377.452,10.37
0.73,11.930,32.694,30575.616,207.622,2.28,424.117,9.65
0.54,12.233,26.512,61671.424,208.602,2.32,275.461,16.30
0.58,12.514,23.644,60261.376,199.348,2.48,315.936,13.99
0.50,13.202,34.753,53956.608,187.311,2.54,245.881,17.73
0.56,12.419,34.880,49750.016,193.348,2.48,303.862,14.54
0.64,12.774,32.142,48461.824,173.199,2.75,384.732,11.33
0.71,14.235,26.952,43021.312,179.971,2.63,461.618,9.46
0.76,13.442,32.808,40260.608,189.046,2.48,494.649,8.38
0.76,10.349,43.234,28753.92,242.816,1.87,472.917,7.79
0.79,9.818,56.306,22100.992,243.404,1.81,458.414,7.84
0.85,12.052,29.639,33159.168,206.838,2.23,521.133,7.62
0.91,12.818,29.687,34217.984,246.723,1.83,532.254,7.49
0.90,11.812,31.975,35095.552,253.019,1.87,521.564,7.69
0.99,12.310,27.653,29850.624,288.186,1.64,606.928,6.59
0.93,10.634,36.008,14141.44,283.516,1.70,592.809,6.04
1.10,11.226,23.942,23784.448,334.911,1.38,680.787,5.68
0.97,11.097,25.597,21352.448,294.103,1.45,561.532,6.52
1.12,13.149,28.721,10010.624,330.610,1.37,748.374,5.05
1.28,9.482,42.156,7805.952,346.403,1.21,844.072,3.95
1.09,11.238,31.807,28658.688,377.764,1.24,634.173,6.31
0.99,11.593,35.013,31323.136,364.592,1.25,437.812,8.66
0.98,11.899,42.469,24145.92,400.323,1.20,418.415,9.19
0.99,10.054,31.649,17721.344,335.660,1.40,406.002,9.06
0.69,9.612,31.207,36596.736,261.641,1.98,344.156,12.52
0.68,8.614,31.315,33230.848,246.189,1.97,324.767,12.59
0.75,9.128,21.651,43495.424,280.112,1.62,359.653,13.38
0.73,9.889,26.429,36048.896,269.946,1.84,356.448,13.26
0.72,10.102,21.638,37981.184,266.464,1.86,346.833,13.51
0.74,10.934,21.614,34728.96,282.089,1.83,367.696,12.90
0.71,9.306,18.688,37507.072,241.907,1.91,313.611,14.29
0.76,8.956,28.315,33654.784,259.443,1.76,335.597,13.27
0.72,11.572,19.359,30860.288,257.956,1.91,331.587,13.71
0.70,11.450,16.446,31868.928,256.683,2.02,334.167,13.85
0.70,9.673,25.195,37013.504,247.952,1.99,322.044,13.93
0.73,10.146,21.192,35812.352,252.802,1.91,327.358,13.47
0.85,9.378,22.235,18887.68,242.436,1.83,418.611,9.65
0.76,7.252,37.935,20868.096,286.949,1.62,373.71,10.38
0.77,7.682,29.808,21200.896,281.364,1.66,389.474,9.54
0.82,10.429,25.938,29313.024,215.090,2.24,442.44,9.53
0.84,11.003,23.271,29697.024,228.397,2.16,469.008,9.17
0.90,8.947,32.521,17973.248,210.016,2.21,497.411,7.59
0.85,8.021,28.887,9963.52,252.774,1.84,431.093,8.40
0.91,10.109,29.438,20089.856,242.954,1.98,493.113,8.31
0.94,11.594,23.244,21212.16,274.234,1.87,493.119,8.41
