ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.62,5.438,28.100,56865.792,162.303,1.25,198.72,14.21
0.71,5.603,21.572,60173.312,160.515,1.32,261.09,10.67
0.65,5.067,27.191,53527.552,163.257,1.21,203.042,13.08
0.86,5.196,24.117,36282.368,166.759,1.29,324.702,8.27
0.83,5.750,25.452,52161.536,144.858,1.36,336.925,7.61
1.05,5.649,21.517,31751.168,159.603,1.13,437.982,5.44
0.79,4.735,26.408,46683.136,150.042,1.40,297.357,8.15
0.93,4.821,25.919,40315.904,113.784,1.66,385.213,5.78
1.04,5.541,28.763,38936.576,159.676,1.23,430.512,5.41
0.96,3.930,25.472,26088.448,190.907,1.03,344.465,5.64
1.13,5.626,26.273,38020.096,207.091,1.11,427.546,5.55
1.09,5.558,26.692,41577.472,198.027,0.99,407.998,5.88
1.12,3.597,38.272,21171.2,220.673,0.83,390.776,4.77
1.02,4.199,49.126,24003.584,184.541,1.15,388.425,5.16
1.38,5.112,28.924,22876.16,269.115,0.63,557.931,3.88
1.47,4.844,32.559,17419.264,263.272,0.64,608.368,3.31
1.33,4.244,33.394,15251.456,255.574,0.72,516.59,3.71
1.37,5.316,55.113,28445.696,335.228,0.58,512.199,4.57
1.29,5.727,40.714,41048.064,381.497,0.51,407.436,6.09
1.12,5.313,28.673,25717.76,248.783,0.86,373.857,5.74
0.58,5.177,24.017,6883.328,163.498,1.73,205.783,11.27
0.74,4.022,29.378,42624.0,197.905,1.37,244.43,11.87
0.73,4.274,26.992,45094.912,188.694,1.49,236.773,13.60
0.71,4.597,23.099,51693.568,194.793,1.43,241.263,14.13
0.75,4.529,19.512,46177.28,188.990,1.35,235.799,14.30
0.77,4.865,20.526,45158.4,207.290,1.36,258.658,13.91
0.82,4.339,24.461,36784.128,218.952,1.24,276.454,12.39
0.82,4.924,21.943,43457.536,228.644,1.25,286.675,12.31
0.83,4.551,22.091,35484.672,219.436,1.20,280.468,11.42
0.81,4.674,25.085,36090.88,213.445,1.25,266.822,11.93
0.81,4.603,23.415,39510.016,211.394,1.28,264.869,12.77
0.78,5.189,20.769,40012.8,201.036,1.38,249.782,12.76
0.80,5.067,20.642,31243.264,203.376,1.51,255.773,12.11
0.80,4.835,22.673,36097.024,207.186,1.42,259.29,12.36
0.79,4.972,22.133,35397.632,198.774,1.45,254.405,12.18
0.79,4.884,25.881,36620.288,200.252,1.35,249.484,12.21
0.80,5.144,20.779,40046.592,195.124,1.48,262.323,11.97
0.81,4.879,21.555,33321.984,208.463,1.64,259.176,11.84
0.82,5.081,24.431,35842.048,203.337,1.38,279.104,10.76
0.88,4.397,18.225,17793.024,148.214,1.54,275.501,8.54
1.01,4.816,22.678,27598.848,196.921,1.38,423.356,6.92
0.78,3.524,25.376,24543.232,134.406,1.65,213.259,10.46
1.00,4.679,20.992,22019.072,180.718,1.45,364.296,7.05
1.03,4.542,26.057,23936.0,221.701,1.25,379.758,7.39
1.06,4.757,22.558,23498.752,225.404,1.22,384.766,7.21
1.11,4.427,21.233,15832.064,218.842,1.07,386.643,6.07
0.89,3.161,26.133,8496.128,158.060,1.47,258.578,7.39
1.13,5.131,16.675,19454.976,263.768,1.10,447.735,6.40
1.08,4.344,21.688,17397.76,262.858,0.99,316.58,8.06
0.52,5.399,18.918,7666.688,153.387,1.80,194.465,11.40
0.77,4.486,22.748,39774.208,202.623,1.31,255.255,12.37
0.68,3.399,49.350,37097.472,157.429,1.52,202.93,12.13
0.72,4.599,26.415,39647.232,195.111,1.37,243.958,13.10
0.76,4.864,24.383,44534.784,196.002,1.40,246.723,12.68
0.78,5.292,20.473,40829.952,208.484,1.17,260.51,12.36
0.80,4.971,20.026,48003.072,223.067,1.18,278.514,12.59
0.75,5.269,20.153,48565.248,200.455,1.28,249.029,13.12
0.78,5.155,20.234,44220.416,215.987,1.26,270.78,12.28
0.78,4.920,23.566,39826.432,202.668,1.24,253.254,12.38
0.77,4.961,24.843,44356.608,203.164,1.21,253.808,12.69
0.82,4.660,24.065,23791.616,194.182,1.42,240.671,11.97
0.77,4.926,21.746,48434.176,208.486,1.24,260.611,12.60
0.76,4.590,19.475,39858.176,188.124,1.29,234.663,12.83
0.77,5.081,25.044,41190.4,206.764,1.29,256.513,12.39
0.73,5.110,22.674,45407.232,175.684,1.50,236.961,12.37
0.85,4.889,31.840,43658.24,198.826,1.35,321.218,9.63
0.83,4.853,17.643,39838.72,168.821,1.50,289.924,9.94
0.85,5.081,23.790,36741.12,163.180,1.54,309.107,8.92
0.99,4.627,27.435,28065.792,179.120,1.49,428.23,6.41
0.96,4.845,26.185,27879.424,161.308,1.54,379.556,6.78
1.01,5.230,24.232,33639.424,206.267,1.28,406.769,7.09
1.21,5.087,20.685,15617.024,254.274,0.96,458.742,5.53
1.21,4.979,21.938,22681.6,259.430,0.93,500.865,5.32
1.27,5.061,23.812,19234.816,283.882,0.87,540.566,5.00
1.29,5.153,28.970,17998.848,287.052,0.92,579.507,4.73
1.29,5.095,25.129,13641.728,280.141,0.90,582.709,4.66
1.23,5.088,26.981,23611.392,338.262,0.75,411.571,6.60
1.04,4.180,41.012,21292.032,289.755,0.92,330.561,7.62
0.36,6.184,28.816,7616.512,123.712,1.85,158.327,11.49
0.63,3.353,87.193,37187.584,156.927,1.72,204.347,10.76
0.71,3.986,46.377,28863.488,171.695,1.89,232.052,10.24
0.72,4.333,34.276,44005.376,196.141,1.04,246.727,12.36
0.70,5.250,24.339,44039.168,186.828,1.22,240.907,12.77
0.70,4.003,33.297,35924.992,182.746,1.18,228.27,11.94
0.71,5.088,25.433,44265.472,173.504,1.17,219.71,13.06
0.71,4.822,25.215,56525.824,187.045,1.17,234.405,13.48
0.77,5.062,28.137,32630.784,187.307,1.18,244.373,12.31
0.66,3.678,47.701,29185.024,163.364,1.31,203.888,11.31
0.69,5.588,32.556,51223.552,185.980,1.22,230.781,13.73
0.69,5.353,27.102,47938.56,176.226,1.26,219.46,12.50
0.69,5.251,31.563,54318.08,159.015,1.37,217.057,12.68
0.96,4.750,39.366,29698.048,167.508,1.32,383.238,6.76
0.86,5.138,32.895,48821.248,154.965,1.43,346.604,7.89
0.91,5.359,26.725,41885.696,137.418,1.51,381.769,6.80
0.87,4.824,30.315,37508.096,129.212,1.67,332.196,7.34
1.03,5.305,32.889,35762.176,173.613,1.35,451.109,5.62
0.91,4.909,27.430,34813.952,123.261,1.65,360.656,6.41
1.02,5.175,25.459,38968.32,180.115,1.19,411.754,6.25
1.05,5.657,31.999,36519.936,203.567,1.10,409.899,6.34
1.18,5.350,25.799,25668.608,225.578,0.96,449.462,5.43
