ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.95,2.208,5.705,35390.464,353.708,0.90,388.878,15.21
0.67,2.437,7.158,668.404,314.408,0.72,309.978,17.34
1.12,2.141,9.986,17346.56,417.235,0.59,519.803,10.89
1.06,2.108,12.657,17146.88,345.745,0.62,377.933,11.94
1.47,1.690,7.278,1560.576,474.691,0.53,837.833,6.53
1.38,1.936,6.205,11348.992,466.541,0.46,741.288,7.64
1.25,1.961,6.328,25478.144,466.410,0.48,628.912,9.28
1.20,1.949,6.779,28900.352,426.117,0.52,600.37,9.96
1.20,1.951,9.536,25729.024,393.115,0.57,635.646,9.20
1.23,1.969,7.742,16721.92,318.728,0.65,621.046,8.13
0.90,2.237,13.230,17982.464,319.150,0.69,331.664,13.85
0.97,2.069,6.111,42301.44,347.377,0.67,475.655,12.99
0.92,2.275,13.603,22640.64,361.525,0.64,378.354,13.05
0.87,1.806,6.202,53387.264,363.283,0.63,358.54,17.54
0.85,4.250,11.563,28974.08,300.668,1.06,335.838,13.64
0.86,3.401,16.786,7606.272,286.509,1.04,323.203,12.40
0.80,2.571,25.122,7291.904,225.316,1.20,242.688,12.51
0.73,2.115,6.080,875.713,311.510,0.84,317.471,16.41
1.11,2.283,12.035,15662.08,376.346,0.63,464.342,10.77
1.20,2.098,9.532,7186.432,357.712,0.82,573.677,8.25
1.34,2.284,4.414,3449.856,446.774,0.56,761.93,7.31
1.30,1.721,3.954,10091.52,471.970,0.56,678.998,8.42
1.15,1.705,4.162,20428.8,383.132,0.64,507.9,10.95
1.11,1.867,12.721,11231.232,259.025,0.94,489.953,9.22
1.17,1.674,5.914,16653.312,336.193,0.82,614.329,8.92
1.07,1.757,4.702,29540.352,341.476,0.77,555.595,10.74
1.11,1.621,4.067,18508.8,334.166,0.77,572.056,9.98
0.81,18.834,5.366,19169.28,192.068,1.20,324.305,12.72
1.00,1.884,3.456,23519.232,365.463,0.73,428.733,13.80
0.99,2.100,4.289,17257.472,364.328,0.76,409.461,13.80
0.84,3.394,23.521,11677.696,263.748,1.43,310.249,12.28
0.91,1.640,4.105,36783.104,332.850,0.77,352.135,15.93
0.87,2.678,16.951,11628.544,291.762,0.91,316.497,12.72
0.77,2.190,5.330,762.041,307.397,0.94,324.12,15.90
1.11,2.689,4.869,17916.928,384.887,0.74,482.066,10.59
1.19,1.979,2.873,14336.0,365.195,0.72,543.66,9.45
1.15,2.153,10.901,12509.184,385.039,0.70,486.921,10.16
1.06,2.279,16.102,10050.56,346.418,0.81,426.531,10.42
1.16,2.297,9.688,9063.424,336.627,0.84,541.192,9.00
