ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
0.66,5.885,15.24,53261.312,147.883,1.21,190.242,14.58,4.6,0.0,806780.0,4077752.8,94351.2,425861.6,16.0,0.0,11633.8,18984.8,12432.4,22793.2,18.6,58.8,18.8,4.0,0.0,0.47,1
0.65,5.332,8.869,65011.712,143.917,0.82,182.323,15.47,3.4,0.0,804730.4,3995305.6,116905.6,443646.4,16.0,0.0,1364.8,18473.6,10893.4,21041.8,17.4,56.8,21.8,4.2,0.0,1.12,1
0.86,5.733,9.322,32464.896,144.004,0.84,275.419,9.41,3.0,0.6,804536.8,3111971.2,127304.8,450296.0,2.4,0.0,277.6,19692.8,12603.6,23585.6,24.8,49.2,22.2,3.8,0.0,0.18,1
0.63,3.509,51.88,14831.616,129.232,1.21,173.372,8.08,4.8,0.8,1206082.4,3750752.0,131384.8,456065.6,18.4,125548.8,613.6,137306.4,11024.6,14236.6,9.4,61.6,22.0,7.0,0.0,0.27,1
1.04,6.507,9.409,40898.56,108.542,1.04,463.577,5.03,5.6,0.4,804202.4,3496298.4,133173.6,456261.6,10.4,0.0,255.2,23822.4,12812.4,26144.0,29.6,47.2,19.2,3.4,0.0,0.27,1
1.05,6.562,12.117,41498.624,121.364,0.95,425.88,5.3,4.8,0.0,803974.4,4084128.0,134103.2,460396.0,7.2,0.0,12.8,23065.6,13876.2,27007.4,29.8,45.8,20.2,4.4,0.0,0.33,1
1.24,5.817,17.319,33855.488,193.315,0.6,449.241,4.96,3.6,0.8,803676.8,4477006.4,134413.6,458740.0,4.0,0.0,12.0,21445.6,11583.8,23136.6,30.4,46.2,20.6,2.6,0.0,0.42,1
1.31,6.032,24.578,36819.968,211.743,0.54,506.794,4.37,4.0,0.2,803624.0,4717112.0,134573.6,470056.8,7.2,0.0,147.2,24242.4,12032.2,24397.2,31.8,47.0,19.2,2.0,0.0,0.45,1
1.29,3.757,57.965,12108.8,180.163,0.82,461.679,3.51,2.8,0.4,1025547.2,4663168.8,134627.2,462693.6,12.8,96564.0,104.8,111700.8,11352.2,16778.0,23.4,54.8,16.8,5.2,0.0,0.19,1
1.6,5.911,21.296,17453.056,273.874,0.4,677.896,2.95,2.6,0.4,803888.0,5352718.4,134673.6,460972.0,7.2,0.0,39.2,22505.6,11918.0,24027.0,39.0,39.8,17.8,3.6,0.0,0.38,1
1.36,3.663,43.567,13224.96,206.504,0.63,441.833,3.6,6.6,0.0,1027087.2,5604790.4,134729.6,462792.0,2.4,84193.6,18.4,97489.6,9579.8,14638.0,26.0,52.8,16.8,4.4,0.0,0.42,1
1.35,5.412,25.626,23468.032,283.783,0.47,371.327,4.98,4.6,0.2,849249.6,6177352.8,134748.8,471624.0,9.6,52428.8,32.8,70952.8,12839.8,22311.6,26.0,46.0,23.2,5.0,0.0,0.28,1
0.17,6.737,22.191,1143.808,59.066,1.9,82.975,13.28,4.4,0.0,803826.4,6512724.8,134767.2,473423.2,4.8,66.4,42.0,26553.6,12963.2,26867.2,48.8,27.6,21.6,2.2,0.0,0.14,1
0.79,4.865,14.977,47206.4,227.656,1.15,281.641,13.16,7.6,0.2,803724.0,1704400.8,134788.0,470368.8,6.4,0.0,29.6,18288.0,12563.6,21043.2,40.4,57.2,2.4,0.4,0.0,0.28,1
0.81,4.948,16.307,37780.48,221.182,1.21,275.443,13.73,10.2,0.2,814636.0,1756600.8,95762.4,380712.8,13.6,0.0,7748.8,18263.2,11384.2,19838.6,40.2,56.8,2.6,0.4,0.0,0.29,1
0.83,4.846,13.28,27492.352,213.887,1.19,271.563,12.56,9.6,0.0,814380.0,3779035.2,120860.0,386341.6,12.8,0.0,436.8,17365.6,11378.0,19120.6,39.2,58.8,1.6,0.2,0.0,0.2,1
0.79,4.635,15.898,32057.344,194.466,1.24,243.976,13.32,8.4,0.4,814124.0,3131576.0,129822.4,387311.2,3.2,0.0,54.4,16820.0,11305.4,19002.8,42.6,55.0,2.0,0.4,0.0,0.29,1
0.86,5.327,19.147,30875.648,239.34,1.17,303.794,11.93,6.4,0.8,813868.0,3858739.2,133004.0,392710.4,6.4,0.0,76.0,19905.6,12037.4,21169.2,38.6,57.8,3.2,0.4,0.0,0.39,1
0.84,5.417,12.815,30019.584,231.023,1.17,288.581,12.21,7.8,0.0,813612.0,4451861.6,134321.6,388618.4,3.2,0.0,47.2,19244.8,12126.6,21512.8,40.6,56.4,2.6,0.4,0.0,0.38,1
0.84,5.404,13.318,29786.112,224.338,1.27,281.816,11.76,7.6,0.0,813356.0,5264508.0,134775.2,394064.0,11.2,0.0,64.0,20170.4,13015.2,22509.8,43.6,54.0,2.4,0.0,0.0,0.14,1
0.84,4.39,18.519,22591.488,197.235,1.24,247.287,11.51,9.2,0.6,813100.0,4883472.0,134932.0,396082.4,4.0,0.0,67.2,15353.6,10608.4,17387.8,41.0,57.2,2.0,0.2,0.0,0.31,1
