ipc,context_switches(K/s),cpu_migrations(/s),page_faults(/s),branches(M/s),branch_misses(%),L1_dcache_loads(M/sec),r_procs,b_procs,swap(KB),free(KB),buffers(KB),cached(KB),swap_in(KB/s),swap_out(KB/s),interrupts(/s),user_time(%),idle_time(%),iowait_time(%),avg-latency(ms)
0.75,7.926,19.404,35234.816,260.855,1.81,339.801,9.6,0.6,1128607.2,3361935.2,137159.2,368621.6,73.6,0.0,17211.2,34.6,3.6,0.6,5.930585352328455
0.74,7.61,18.898,36453.376,252.765,1.88,329.202,8.4,0.2,1127152.0,3420630.4,139334.4,371012.8,728.0,0.0,16471.4,33.4,3.2,0.2,6.332469464858961
0.75,6.985,17.184,25563.136,235.488,1.78,307.311,7.2,0.6,1122875.2,3242148.8,140187.2,373730.4,669.6,0.0,14626.8,35.8,3.0,0.6,7.111094600365255
0.74,6.842,21.605,33042.432,229.857,1.87,297.664,9.2,0.4,1121264.0,3849300.0,140356.8,378533.6,7.2,0.0,15338.8,37.8,4.2,0.6,6.783160860919196
0.7,5.487,20.113,23789.568,184.449,1.86,239.38,8.8,0.0,1120980.8,3008747.2,140429.6,380928.8,21.6,0.0,12354.6,34.8,4.2,0.8,10.190856294567082
0.74,7.419,16.866,31858.688,233.575,1.95,304.263,8.0,0.8,1120176.8,4533188.8,140490.4,380543.2,38.4,0.0,16135.6,35.0,4.2,0.6,6.5371025609606095
0.72,7.189,13.9,24744.96,219.277,2.05,285.825,9.2,0.2,1119435.2,4723286.4,140512.0,384640.0,143.2,0.0,15508.0,32.6,4.6,0.6,5.622898309946284
0.74,7.396,14.358,26770.432,219.137,2.0,286.325,7.4,0.6,1119888.0,5123889.6,140521.6,382968.8,83.2,0.0,16690.4,35.6,5.6,1.0,6.723760222105701
0.59,1.791,24.677,30983.168,108.293,1.82,135.783,10.8,0.6,1119376.0,4428029.6,140528.0,370377.6,51.2,0.0,3899.6,35.2,2.4,1.0,25.07069011529287
0.64,2.425,19.392,18952.192,131.468,1.81,167.502,10.6,0.6,1121724.8,3668960.8,140576.8,357573.6,20.8,2392.0,5172.0,37.8,5.2,2.2,19.321496846974856
0.64,5.347,16.563,21936.128,161.346,2.04,209.881,7.2,1.0,1117259.2,4793020.0,140584.0,373623.2,34.4,0.0,9586.0,37.6,4.6,1.0,10.601363417959044
0.69,5.134,15.936,15668.224,189.912,1.82,243.869,8.0,0.6,1267973.6,4475502.4,140588.0,385432.8,68.0,71092.0,13653.8,35.8,4.2,0.8,12.730271446730177
0.69,5.435,16.101,20761.6,166.421,2.04,216.042,8.2,0.0,1116548.0,5399444.0,140688.8,383816.0,18.4,0.0,11978.2,37.2,5.4,0.8,10.19804760561151
0.74,4.982,19.226,12546.048,201.816,1.9,261.038,9.2,0.4,1397185.6,5021783.2,140705.6,385173.6,30.4,107180.0,13020.2,35.2,5.0,1.0,8.747338901108277
0.9,7.399,14.403,21171.2,204.948,2.08,425.482,9.0,0.2,1115587.2,5018549.6,140760.0,388676.0,49.6,0.0,16729.0,41.8,5.2,0.4,6.846979600653801
0.93,6.742,12.948,20177.92,220.516,1.9,412.138,9.0,0.4,1115112.8,5239251.2,140919.2,387724.0,8.8,0.0,14702.6,39.4,4.4,0.2,7.317943596286797
0.94,6.926,13.728,20208.64,242.407,1.78,412.907,9.6,0.0,1114255.2,5542700.0,140942.4,395171.2,133.6,0.0,14925.0,38.2,4.4,0.2,6.646551291147867
1.0,7.264,15.572,16135.168,271.918,1.69,473.092,8.2,0.2,1113796.0,5710456.8,140944.0,387512.8,56.0,0.0,15527.8,39.6,5.0,0.6,6.108915732980018
1.05,8.016,12.818,12382.208,286.634,1.63,529.317,8.6,0.0,1113332.8,5839320.8,141004.0,393046.4,75.2,0.0,17362.4,42.2,5.0,1.0,6.156032713352407
0.99,7.134,13.656,12883.968,257.879,1.62,472.092,7.8,0.4,1108847.2,5914453.6,141008.0,386236.0,12.0,0.0,15818.0,42.4,4.4,0.6,6.895374895921393
1.03,6.862,12.977,14644.224,278.473,1.48,491.586,9.4,0.0,1108796.0,6210459.2,141008.0,387260.0,0.0,0.0,15474.6,41.4,4.6,0.6,7.255163377480126
0.93,5.715,17.32,11486.208,272.828,1.39,309.579,9.6,0.4,1144148.0,6339086.4,141016.0,388845.6,6.4,26214.4,13775.4,41.2,4.8,0.8,8.665593717828651
