ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.62,4.845,31.949,49248.256,147.085,1.28,181.518,14.09,8.0,0.0,1241008.0,3559830.4,104920.8,435398.4,439.2,0.0,589.2,18336.8,10341.6,18623.0,19.4,70.4,9.2,1.4,0.0,41.14172885074626
0.65,5.021,31.689,52179.968,180.523,1.0,227.382,13.4,7.0,0.0,1237212.8,3152310.4,83512.0,399434.4,341.6,763.2,930.8,20359.2,10781.0,19333.0,18.6,72.4,7.8,1.6,0.0,38.10502649206349
0.67,3.932,41.449,33360.896,179.171,1.15,224.021,11.54,6.6,0.6,1330143.2,2273249.6,111176.8,437264.0,601.6,70366.4,1857.0,83752.0,10247.2,16205.4,15.0,74.2,8.6,2.2,0.0,40.419142911392406
0.65,4.622,31.927,58417.152,170.045,1.17,214.025,13.81,5.6,0.2,1210226.4,3880901.6,123748.8,431728.8,368.0,0.0,758.8,18925.6,9852.6,18302.2,17.0,72.8,9.2,1.4,0.0,39.8257581971831
0.65,4.778,30.304,56836.096,171.889,1.14,211.037,13.64,5.0,0.0,1206840.8,3806353.6,131700.8,438392.0,415.2,0.0,474.4,19141.6,10535.4,19529.0,18.8,69.8,10.0,1.6,0.0,34.46985111688312
0.64,5.069,27.119,45195.264,154.871,1.19,192.598,13.38,5.8,0.0,1204055.2,4357251.2,135656.0,440564.8,662.4,0.0,745.6,19255.2,10286.4,19313.0,22.0,67.2,9.0,1.8,0.0,43.7019083
0.65,5.227,22.86,56411.136,177.942,1.25,220.149,13.8,5.2,0.0,1199071.2,4419322.4,137466.4,440941.6,316.8,0.0,332.0,17880.8,10789.8,20367.4,20.4,68.0,9.8,1.8,0.0,32.33567194382022
0.63,5.514,19.592,55812.096,161.474,1.2,198.785,13.42,7.0,0.4,1196221.6,4549822.4,138421.6,440193.6,407.2,0.0,491.2,21874.4,11920.4,21642.2,17.8,70.0,10.6,1.6,0.0,38.78980589333333
0.68,5.541,19.896,55009.28,167.935,1.28,230.354,12.01,7.4,0.8,1194897.6,4409292.8,138835.2,437364.8,82.4,0.0,1181.0,21128.8,12278.8,22001.2,21.4,66.4,10.8,1.8,0.0,34.51734814864865
0.84,3.321,51.396,8219.648,156.623,1.25,258.777,7.12,5.8,0.8,1449442.4,2082689.6,138971.2,439272.8,21.6,104882.4,212.8,117813.6,9339.2,14147.8,22.4,65.0,9.6,3.0,0.0,34.26175507594937
0.87,5.178,22.264,46124.032,126.48,1.51,363.475,6.57,5.4,0.2,1193968.0,3529784.8,139032.0,443431.2,33.6,0.0,33.6,19551.2,11385.8,20383.2,26.2,60.2,11.8,2.0,0.0,33.83888818604651
0.79,5.36,29.366,49693.696,132.987,1.55,307.152,7.95,4.8,0.2,1193624.0,4034809.6,139082.4,447439.2,16.8,0.0,33.6,20939.2,11529.6,21338.4,20.6,66.6,11.6,1.6,0.0,32.41599610344828
0.83,5.377,31.853,44794.88,127.453,1.61,335.299,7.33,5.0,0.4,1173254.4,3951878.4,139114.4,448194.4,42.4,0.0,390.0,20491.2,11815.6,21288.8,26.4,62.0,9.8,2.0,0.0,33.35120151648352
1.01,5.338,35.052,38478.848,162.179,1.31,456.823,5.21,6.4,0.2,1172743.2,3659160.0,139147.2,442270.4,46.4,0.0,46.4,18394.4,11369.4,21549.2,31.6,56.2,10.4,2.4,0.0,31.299129275510204
0.92,3.648,54.242,18488.32,188.092,1.05,352.413,5.52,5.6,0.2,1769479.2,3464332.0,139168.8,446820.0,4.8,160576.8,4.8,174827.2,8665.6,13894.6,20.8,70.8,7.2,1.8,0.0,42.183471768115936
1.03,3.741,28.221,18091.008,218.452,0.96,366.637,5.27,5.4,0.4,1756224.8,3935832.0,139179.2,447575.2,32.0,163848.8,58.4,177337.6,8675.2,14181.2,22.4,65.0,10.0,2.6,0.0,32.87355922093023
1.1,5.703,31.006,39768.064,206.37,0.95,423.447,5.73,4.8,0.4,1171805.6,4795404.8,139200.0,449861.6,32.8,0.0,32.8,19619.2,12433.8,23041.6,29.2,59.6,9.6,1.6,0.0,30.963514388235293
1.05,5.29,23.519,36393.984,185.197,1.03,385.5,5.9,5.2,0.4,1169487.2,4933074.4,139228.8,458629.6,0.8,0.0,0.8,19095.2,12562.6,22879.4,31.0,57.4,10.0,1.8,0.0,35.16054879012346
1.25,5.356,27.186,31242.24,240.778,0.77,495.122,4.51,5.2,0.0,1169382.4,4806740.8,139236.8,448272.0,0.0,0.0,0.0,22140.8,12228.4,22755.2,33.2,54.0,11.0,1.8,0.0,36.34730155128205
1.26,4.99,38.836,26629.12,229.582,0.8,505.822,4.2,5.8,0.2,1168941.6,4988642.4,139388.0,456110.4,4.8,0.0,4.8,22976.0,10531.0,20349.0,31.6,58.2,9.6,0.8,0.0,39.09617775324675
1.52,5.261,34.494,18229.248,288.169,0.61,709.228,3.02,4.4,0.4,1168660.0,4963059.2,139406.4,455292.0,6.4,0.0,6.4,21498.4,10921.8,20785.4,35.2,54.0,8.8,1.6,0.0,36.7191636056338
