ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.75,7.452,20.842,31234.048,232.698,2.03,301.632,13.15
0.75,7.388,22.769,30100.48,231.125,2.04,300.073,12.90
0.82,6.973,26.891,20178.944,222.887,1.92,340.122,10.49
0.74,6.941,22.760,35703.808,223.341,1.88,283.838,12.94
0.71,6.793,25.715,33063.936,197.103,2.13,262.791,13.17
0.80,5.436,36.638,16623.616,228.615,1.78,323.673,9.38
0.83,7.111,21.577,28380.16,194.859,2.15,362.187,9.49
0.95,7.257,17.112,20758.528,209.539,2.03,449.962,7.43
0.96,7.191,19.653,14365.696,207.347,2.00,422.163,7.54
0.95,6.808,20.087,20033.536,214.448,1.86,405.299,7.84
0.93,6.101,20.096,15955.968,193.809,1.97,358.667,8.01
0.88,6.112,17.429,16970.752,191.366,1.92,332.936,8.39
1.05,7.09,21.353,12576.768,258.015,1.59,491.227,6.40
1.09,5.9,25.565,7431.168,248.419,1.46,476.182,5.69
0.96,6.671,21.030,9600.0,240.453,1.73,415.713,7.15
1.00,6.817,18.259,14796.8,300.121,1.41,369.929,8.42
0.54,7.95,17.157,1078.272,179.424,2.56,239.886,12.31
0.68,5.986,27.133,34242.56,218.296,1.85,289.814,12.13
0.67,6.197,30.832,37475.328,212.345,1.93,279.906,12.89
0.71,7.16,26.254,35304.448,234.099,1.83,310.728,13.46
0.75,6.554,24.856,32765.952,230.155,2.21,306.929,12.01
0.74,7.394,26.356,39557.12,234.407,1.77,303.701,12.89
0.73,7.384,24.732,34863.104,226.656,1.96,296.62,12.76
0.72,6.642,24.104,36905.984,209.762,1.91,274.0,13.20
0.69,6.859,20.147,30379.008,202.018,1.96,266.235,13.18
0.59,5.513,21.053,40603.648,150.398,2.17,194.279,17.14
0.71,7.669,21.776,35934.208,219.421,1.97,284.116,13.10
0.73,7.446,22.316,35665.92,236.741,1.91,301.703,12.90
0.72,8.062,24.772,33111.04,218.777,2.10,288.429,12.95
0.71,7.121,26.641,34427.904,210.130,2.02,270.603,13.30
0.71,7.45,23.374,37452.8,216.986,2.03,281.031,12.62
0.74,5.7,33.652,15597.568,235.897,1.84,300.004,10.45
0.95,7.859,30.563,27779.072,197.776,2.32,516.118,7.02
0.88,7.725,34.269,30582.784,191.871,2.37,447.183,8.12
0.91,7.267,34.411,28812.288,179.337,2.29,442.731,7.47
0.91,7.258,42.159,23100.416,180.356,2.33,428.18,7.38
0.94,7.493,33.551,24714.24,206.111,2.16,442.887,7.40
0.53,2.685,25.040,15411.2,85.454,2.30,113.452,14.44
0.93,6.627,16.279,15203.328,199.439,1.94,383.304,7.49
0.87,6.096,15.231,13575.168,230.507,1.75,345.622,8.25
1.05,7.301,16.944,15493.12,241.140,1.68,462.703,6.46
1.11,7.058,17.218,11557.888,267.355,1.47,510.641,5.72
1.15,6.421,17.812,8830.976,271.379,1.38,544.586,5.30
1.04,2.307,21.988,2156.544,126.408,1.35,263.827,4.72
1.02,6.687,19.840,12564.48,290.435,1.37,379.695,7.41
0.48,5.952,15.827,1203.2,128.432,2.78,171.942,12.47
