ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.0,1374776.0,6601620.0,140869.6,435522.4,44.8,32.0,44.8,26240.8,23665.2,46878.2,38.6,55.2,5.8,0.8,0.0,0.540278
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.8,1822842.4,811717.6,20404.8,320445.6,35997.6,162460.0,37231.6,179228.0,21721.2,35369.8,19.8,73.2,4.2,2.4,0.0,0.654585
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.6,1420931.2,3585772.8,56848.8,276560.8,141.6,7463.2,3271.8,30697.6,19161.0,40804.6,22.0,69.4,7.2,1.2,0.0,0.57539
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1419780.0,4527752.8,118070.4,314665.6,149.6,0.0,2234.4,26096.8,21216.6,44020.4,22.2,69.4,7.2,1.4,0.0,0.539897
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.2,1419073.6,4594516.8,132410.4,314404.8,135.2,0.0,135.2,22988.0,20047.6,43935.2,24.8,64.4,9.6,1.4,0.0,0.590098
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.0,1418073.6,3791176.0,136104.0,317644.0,126.4,0.0,132.0,25464.0,22309.2,44055.0,23.2,68.2,8.0,1.2,0.0,0.561747
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.2,1417180.8,5054867.2,137235.2,314980.8,159.2,0.0,159.2,24427.2,18068.4,44441.0,28.2,64.6,6.0,1.0,0.0,0.496274
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.0,1845628.0,2830316.0,137543.2,314212.0,83.2,154953.6,85.6,173416.0,17484.6,37500.0,23.2,68.6,7.0,1.6,0.0,0.561653
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.6,0.2,1415872.0,5103135.2,137629.6,314426.4,82.4,0.0,203.2,25616.8,22464.8,46972.8,20.4,70.0,8.8,1.0,0.0,0.628558
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.2,0.0,1415241.6,5000848.0,137676.8,315063.2,102.4,0.0,102.4,23868.8,21656.8,42707.2,22.8,67.2,9.4,1.0,0.0,0.598351
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.2,1414404.8,4895522.4,137728.0,319394.4,96.0,0.0,96.0,24311.2,21465.2,45195.4,23.4,69.0,7.2,0.8,0.0,0.587107
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.2,1413440.8,3947894.4,137749.6,319602.4,152.8,0.0,377.8,24322.4,21461.6,44091.4,25.6,65.6,7.6,1.0,0.0,0.580544
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.0,1412603.2,4873144.0,137752.8,320800.8,97.6,0.0,104.0,22088.0,19938.8,42864.0,22.4,67.4,8.2,1.6,0.0,0.571302
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1410417.6,4024829.6,137845.6,327160.0,1046.4,0.0,4140.6,23872.8,20891.2,43158.2,24.4,66.0,8.8,1.0,0.0,0.631634
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.0,0.4,1404968.0,3987846.4,138205.6,338189.6,91.2,0.0,754.2,25127.2,22548.0,48663.2,22.0,66.8,10.4,1.0,0.0,0.568476
