r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
5.4,0.4,1129453.6,4208483.2,136340.0,415063.2,53.6,62099.2,133.6,80988.0,13013.4,21946.4,29.0,46.2,20.0,5.2,0.0
4.0,0.0,1026644.0,4632814.4,136347.2,416908.8,38.4,0.0,64.0,22520.0,13071.0,26016.0,30.4,44.6,21.0,4.2,0.0
4.8,0.0,1026644.0,4669538.4,136368.0,417889.6,33.6,0.0,83.2,21327.2,13299.8,25240.0,32.0,44.0,21.0,3.4,0.0
3.8,0.8,1198352.8,4705420.8,136368.0,419648.0,56.0,89880.0,76.0,104624.0,11343.0,17066.2,19.8,58.6,17.0,5.0,0.0
4.4,0.0,1022664.0,4901809.6,136379.2,422788.0,47.2,0.0,47.2,19608.8,12215.6,23674.6,37.8,34.6,24.2,3.4,0.0
3.0,0.0,1022408.0,4999016.8,136396.0,424712.8,41.6,0.0,42.4,22492.0,13059.4,26066.2,38.4,35.4,22.2,4.4,0.0
4.8,0.2,1340516.8,5127115.2,136403.2,424048.0,30.4,124629.6,36.0,139092.8,10606.2,15794.0,25.2,55.0,16.0,4.2,0.0
4.2,0.2,1021082.4,5370306.4,136405.6,421064.8,25.6,9807.2,25.6,30085.6,12219.8,23566.2,39.8,35.8,20.4,4.2,0.0
4.4,0.0,1019392.8,5688857.6,136409.6,429981.6,371.2,0.0,373.6,22946.4,12837.2,24886.0,35.4,42.6,19.2,2.8,0.0
5.4,0.0,1018676.0,5881204.8,136422.4,418950.4,32.8,0.0,32.8,22416.0,12731.4,24944.6,32.2,44.6,20.4,3.0,0.0
5.0,0.8,1022918.4,6115163.2,136437.6,420855.2,44.8,26214.4,44.8,50500.8,12598.4,22549.6,30.8,48.2,17.8,3.2,0.0
6.0,0.0,1017748.0,6321251.2,136472.0,429937.6,53.6,32.8,53.6,22720.8,12573.4,23124.0,55.0,37.8,7.0,0.6,0.0
10.2,1.6,1040905.6,674812.8,87680.8,309725.6,80.0,22473.6,15200.4,38944.0,11870.2,18174.8,26.8,68.4,3.8,1.4,0.0
7.4,0.0,1038621.6,2680756.0,61131.2,345767.2,167.2,0.0,6352.6,17044.0,10587.8,18962.2,38.8,55.0,5.6,1.0,0.0
10.2,0.8,1074759.2,659607.2,66163.2,277673.6,96.0,27997.6,18031.6,42520.0,10594.8,16306.8,28.4,68.0,3.2,1.0,0.0
9.0,0.2,1118783.2,1023837.6,73249.6,343546.4,6550.4,36015.2,11326.8,52553.6,11933.4,18359.4,32.4,61.2,4.8,1.4,0.0
6.6,0.4,1092988.0,3742700.8,107418.4,343491.2,129.6,0.0,233.6,19706.4,12215.0,21430.2,38.2,55.8,5.6,0.8,0.0
8.4,0.0,1131440.8,1708754.4,126908.0,357944.0,110.4,33990.4,616.0,50960.0,11668.6,18600.6,34.4,59.4,5.4,1.2,0.0
7.6,0.4,1070320.0,2877748.8,132159.2,369288.0,122.4,0.0,770.4,18138.4,10961.2,19712.8,35.4,58.0,5.6,1.0,0.0
7.4,1.0,1066756.0,4072472.0,134731.2,369095.2,374.4,0.0,612.0,20035.2,11677.6,21212.2,37.8,55.6,5.8,0.6,0.0
7.6,0.6,1066167.2,3231754.4,135925.6,367970.4,48.0,0.0,54.4,19474.4,11919.8,21360.0,36.8,57.2,5.0,0.8,0.0
8.0,0.2,1065736.8,4506314.4,136356.8,375659.2,127.2,0.0,152.8,22004.0,11777.2,21891.2,40.8,52.6,5.8,0.8,0.0
6.0,0.6,1065004.8,4305507.2,136509.6,384705.6,335.2,0.0,565.6,18805.6,11774.4,21151.8,39.2,53.4,6.6,1.0,0.0
8.0,0.6,1064200.8,4390184.0,136754.4,383607.2,57.6,0.0,57.6,20126.4,12044.4,22029.0,37.8,54.6,6.6,1.0,0.0
7.0,0.2,1063636.0,4619176.8,136768.0,388052.8,91.2,0.0,92.0,19187.2,11887.8,20692.6,38.4,54.4,6.4,0.6,0.0
7.2,0.8,1063340.0,3875943.2,136788.8,392942.4,60.8,0.0,80.8,19295.2,11405.6,20477.8,42.6,50.0,6.6,1.0,0.0
8.0,0.2,1061688.8,4831871.2,137230.4,416411.2,87.2,0.0,99.2,20344.8,12253.0,21967.0,40.6,52.4,6.2,1.0,0.0
8.2,0.4,1060900.8,4735528.0,137238.4,420861.6,387.2,0.0,416.8,18449.6,11823.0,20401.6,41.0,52.8,5.2,0.8,0.0
6.8,0.2,1059963.2,4771852.0,137393.6,418962.4,81.6,0.0,82.4,23476.8,10908.2,20395.2,39.0,53.2,7.2,1.0,0.0
8.0,0.0,1059675.2,4470194.4,137427.2,419212.8,82.4,0.0,111.8,19663.2,11581.8,21240.6,45.6,47.8,6.0,0.8,0.0
7.0,0.2,1059275.2,4413944.8,137449.6,416679.2,44.8,0.0,57.6,20974.4,12630.2,22687.2,46.6,47.0,6.0,1.0,0.0
6.2,0.2,1058924.8,4577356.0,137469.6,422356.0,36.8,0.0,46.4,20189.6,11486.0,21328.6,47.0,47.4,5.2,0.8,0.0
6.8,0.0,1058520.0,4904856.8,137504.8,424028.8,44.0,0.0,117.6,21616.8,11985.6,21345.4,47.4,46.0,6.0,1.0,0.0
7.2,0.2,1058019.2,5069310.4,137684.0,430798.4,112.8,0.0,112.8,20211.2,12182.6,21776.4,49.0,45.6,5.0,0.8,0.0
9.0,1.0,1516933.6,5097728.8,137695.2,428332.0,5724.8,116928.0,5725.6,131501.6,12000.8,17997.2,35.8,58.4,4.0,1.6,0.0
6.8,0.4,1015424.8,5396881.6,137700.0,432440.8,105.6,0.0,105.6,19976.8,11782.6,21022.8,49.4,44.2,5.8,0.8,0.0
6.8,0.0,1014964.0,5333532.8,137708.0,432130.4,70.4,0.0,70.4,19601.6,12115.4,21451.8,51.6,41.8,6.2,0.8,0.0
6.2,0.8,1014861.6,5663793.6,137734.4,430459.2,99.2,0.0,104.0,18765.6,11557.2,20779.8,54.0,39.2,6.2,1.0,0.0
9.2,0.2,1014028.0,5897436.0,137747.2,433552.8,44.8,0.0,48.0,21083.2,11209.4,21244.6,48.4,45.6,5.0,0.8,0.0
7.2,0.4,1013772.0,6087683.2,137760.0,434049.6,32.8,0.0,36.0,19601.6,11330.0,20946.0,49.6,42.8,6.6,0.8,0.0
4.8,0.6,1013540.0,6315229.6,137776.0,439085.6,140.8,56.8,150.4,24556.0,14173.4,26830.0,56.2,31.4,10.8,1.6,0.0
6.2,0.6,1157529.6,485275.2,126508.8,399273.6,68.0,74318.4,93.8,88569.6,13395.6,15594.8,22.6,70.8,5.4,1.6,0.0
8.6,0.6,1046529.6,668488.8,65108.0,251906.4,53.6,12353.6,4063.2,26548.8,9587.8,16066.8,25.4,65.4,6.8,2.6,0.0
6.8,0.6,1160297.6,727845.6,27585.6,277449.6,1904.0,15931.2,24056.0,31556.0,10948.4,18121.8,27.4,64.8,6.0,1.4,0.0
8.2,0.6,1168664.0,3525937.6,76066.4,373964.0,1330.4,0.0,5924.4,19026.4,12640.0,20058.4,30.6,61.0,7.2,1.4,0.0
6.2,1.0,1092350.4,2688520.8,116792.8,429036.0,2572.0,531.2,3997.0,19776.0,11555.8,21245.6,29.6,59.2,9.4,1.8,0.0
7.8,0.0,1093044.0,3363589.6,132899.2,433267.2,574.4,0.0,636.0,21605.6,12331.0,22759.6,31.8,58.4,8.6,1.2,0.0
5.2,0.8,1088487.2,3905412.8,139037.6,450872.0,151.2,0.0,168.8,20864.8,11619.8,22049.4,29.8,58.2,10.6,1.4,0.0
5.8,1.2,1060803.2,3307223.2,140792.0,454740.0,222.4,0.0,484.4,20292.0,11101.2,21236.8,32.4,56.8,9.4,1.6,0.0
6.6,0.6,1059882.4,2873757.6,141539.2,463287.2,104.8,0.0,227.2,22276.8,12239.0,23436.0,33.4,54.4,11.0,1.4,0.0
6.0,0.2,1058994.4,4070864.8,141982.4,466024.8,51.2,0.0,51.2,22739.2,13292.4,24515.8,34.8,55.0,8.8,1.6,0.0
6.2,0.4,1325716.0,3262340.0,142064.8,460664.0,85.6,116111.2,112.0,132489.6,11949.0,18063.8,30.8,58.4,8.4,2.6,0.0
5.8,0.6,1251253.6,3348407.2,142132.8,465159.2,68.0,88476.0,84.8,105097.6,11743.8,18118.8,30.8,58.0,8.8,2.4,0.0
6.0,0.4,1050784.0,4587131.2,142175.2,464972.8,47.2,0.0,317.6,21140.0,12242.2,23623.8,35.4,51.2,11.4,1.6,0.0
7.2,0.0,1049838.4,4203985.6,142192.0,465560.0,104.0,0.0,104.0,20322.4,12067.6,22440.6,33.8,52.0,12.6,1.8,0.0
4.4,0.4,1049364.8,4601006.4,142196.0,468407.2,86.4,0.0,86.4,21435.2,11602.6,22371.2,33.6,54.0,10.8,1.6,0.0
5.4,1.2,1434549.6,3458877.6,142208.0,464932.0,68.8,131044.8,96.8,146284.0,11087.0,16932.4,33.6,55.8,8.0,2.4,0.0
5.6,0.0,1046561.6,3854066.4,142364.0,475373.6,66.4,0.0,88.0,21016.8,12016.6,22413.2,44.8,43.4,10.6,1.6,0.0
7.0,0.4,1045956.8,3998693.6,142372.0,481820.0,99.2,0.0,99.2,23404.0,13412.8,24754.6,41.2,48.2,9.2,1.6,0.0
3.8,0.4,1576764.0,3821500.0,142384.0,478944.0,68.8,148331.2,68.8,163793.6,10974.6,16957.6,35.6,54.0,7.4,2.8,0.0
5.4,0.2,1035644.0,4688184.0,142385.6,480160.0,58.4,0.0,58.4,22504.0,12015.8,22781.6,40.8,48.0,10.0,1.4,0.0
5.2,0.6,1035026.4,4819236.0,142395.2,481001.6,57.6,0.0,58.4,22636.8,12600.8,23868.6,41.2,46.0,10.8,2.0,0.0
6.2,0.0,1032643.2,4943777.6,142415.2,482849.6,1004.0,0.0,1036.8,24390.4,12800.6,23499.6,43.6,46.8,9.0,1.0,0.0
4.8,0.6,1028558.4,5224733.6,142429.6,479494.4,1522.4,0.0,1829.6,20100.0,11881.8,21492.2,43.4,46.0,9.6,1.2,0.0
5.8,0.4,1350446.4,5129608.8,142476.0,491369.6,45.6,119000.0,45.6,133418.4,10846.2,15472.8,34.2,55.2,7.6,3.2,0.0
6.0,0.2,1241816.8,5338169.6,142488.0,486059.2,56.0,100169.6,56.0,115440.0,11132.2,17196.6,39.0,50.6,8.2,2.2,0.0
7.2,0.8,1022064.0,5578896.8,142488.0,488535.2,40.0,0.0,40.0,19584.8,12198.8,22139.8,48.0,40.8,10.2,1.4,0.0
7.0,0.6,1135893.6,5775697.6,142492.0,488357.6,62.4,99881.6,63.2,114668.0,11518.6,15421.6,37.4,52.2,7.8,2.8,0.0
7.2,0.6,1020900.8,6146477.6,142577.6,491957.6,50.4,19300.8,87.6,39725.6,12511.2,22835.2,44.0,43.2,10.8,2.2,0.0
6.8,0.0,1020900.8,6268925.6,142596.0,495179.2,109.6,37.6,109.6,23952.0,14703.6,28042.0,51.0,26.4,19.8,2.8,0.0
