ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.92,8.605,38.689,22348.8,314.002,1.57,476.737,8.23,7.6,0.2,978004.0,6549776.0,138667.2,362267.2,5.6,0.0,5.6,26746.4,17431.2,33492.8,39.4,56.0,4.4,0.8,0.0,1.393591
0.61,6.689,85.639,18701.312,258.558,1.76,338.817,9.46,8.4,0.2,1456108.0,138588.8,17216.8,210383.2,19209.6,211828.8,22328.2,230377.6,18368.6,26737.8,21.6,70.6,4.8,3.0,0.0,2.043834
0.6,8.808,64.385,63799.296,218.155,2.16,297.233,15.18,6.6,0.0,1022456.0,3706961.6,81232.8,331516.8,3354.4,0.0,8185.2,28064.0,17481.4,35136.2,29.2,64.2,5.6,1.2,0.0,1.222589
0.63,8.748,69.987,56867.84,233.996,1.88,306.034,14.67,7.2,0.4,1021817.6,3967016.0,123248.0,335610.4,93.6,0.0,186.0,27746.4,17342.8,35035.6,27.8,63.8,7.6,1.0,0.0,1.344362
0.65,7.192,77.219,39211.008,262.767,1.63,335.939,11.98,5.8,0.4,1331144.0,2373868.0,135169.6,340147.2,68.0,154767.2,88.8,178980.8,15868.2,29714.0,27.2,66.8,5.2,1.2,0.0,1.64325
0.62,9.14,54.124,52661.248,226.837,2.12,299.151,15.15,7.6,0.0,1002024.8,4528912.0,138760.0,341822.4,11.2,0.0,452.0,27286.4,17296.6,35756.0,30.0,61.8,7.2,1.2,0.0,1.137468
0.62,9.317,61.036,59744.256,232.965,2.0,299.591,14.47,7.0,0.2,1001648.0,4383258.4,140220.0,344376.8,24.8,0.0,67.2,31232.0,17564.0,36514.0,27.0,65.6,7.0,0.8,0.0,1.244481
0.81,9.584,74.48,29429.76,207.831,2.24,466.084,8.66,5.6,0.2,1001318.4,2987758.4,140704.8,348732.8,25.6,0.0,27.2,30421.6,17965.2,37588.8,33.2,57.6,8.4,1.0,0.0,1.153469
0.67,9.114,50.245,59579.392,216.44,2.04,345.211,12.65,5.4,0.2,1001213.6,4172993.6,140845.6,347851.2,4.8,0.0,17.6,29063.2,17008.2,36346.0,31.4,60.0,7.6,1.0,0.0,1.281566
0.69,9.084,60.702,56757.248,201.906,2.4,370.253,11.01,6.4,0.0,1000884.0,4119624.0,140882.4,349929.6,24.8,0.0,56.0,28532.8,17415.6,36293.8,30.0,62.4,7.0,1.4,0.0,1.166372
0.77,9.565,55.075,52795.392,187.901,2.57,476.479,8.79,7.8,0.2,999925.6,3445503.2,140928.0,356899.2,6.4,0.0,6.4,30901.6,17048.6,38307.4,31.0,61.4,6.8,0.8,0.0,1.127102
0.81,9.114,66.004,48778.24,184.437,2.42,495.249,8.01,7.6,0.0,999685.6,3454459.2,140950.4,355352.8,11.2,0.0,11.2,30129.6,16573.6,37326.6,34.2,58.8,6.6,1.0,0.0,1.290724
0.84,9.659,37.765,44655.616,185.498,2.41,511.252,7.59,6.2,0.2,999792.0,3596775.2,140956.8,352862.4,20.0,0.0,22.4,28283.2,17489.2,38747.0,31.4,59.8,7.6,1.2,0.0,1.263573
0.88,9.033,38.588,40360.96,189.964,2.31,573.001,6.71,8.8,0.6,999792.0,3446005.6,140972.8,357650.4,6.4,0.0,6.4,28502.4,18302.4,35785.8,34.0,58.6,6.8,0.6,0.0,1.317864
