r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
9.8,0.2,1114482.4,2008724.0,15084.0,255061.6,33894.4,42408.8,41831.4,64117.6,19278.6,30847.0,27.2,66.8,3.8,2.2,0.0
8.8,0.2,1035320.8,3365336.8,56910.4,307974.4,105.6,2742.4,3729.6,30504.0,17254.2,32441.6,29.4,65.4,4.6,0.6,0.0
8.8,0.0,1037245.6,4716206.4,108932.8,339083.2,400.8,0.0,2788.0,26474.4,16965.8,35454.2,31.0,61.2,6.8,1.0,0.0
7.4,0.2,1036068.0,4200748.0,130629.6,358504.0,1707.2,0.0,4300.2,27218.4,17297.2,34368.0,33.6,60.2,5.6,1.2,0.0
9.4,0.0,1035300.0,4925430.4,136508.8,377108.0,41.6,0.0,41.6,26820.8,17532.4,34830.6,33.2,60.6,5.2,0.8,0.0
8.2,0.0,1034839.2,4872154.4,138070.4,381205.6,16.8,0.0,27.2,26894.4,17798.6,35065.2,31.4,62.4,5.6,0.8,0.0
9.0,0.2,1008071.2,5097004.8,138624.0,374656.0,35.2,0.0,35.2,26399.2,17787.0,35953.8,30.4,62.8,6.0,1.2,0.0
7.8,0.2,1005648.8,4552380.0,139052.0,385536.8,0.8,0.0,100.8,28038.4,17907.4,35116.8,31.8,61.2,6.4,1.0,0.0
7.8,0.0,1005249.6,4954808.8,139116.8,383787.2,19.2,0.0,19.2,27415.2,18013.2,37719.8,33.4,61.8,4.6,0.4,0.0
8.4,0.0,1004440.8,4961410.4,139244.0,391625.6,170.4,0.0,176.0,28782.4,17854.0,35677.2,31.0,62.8,5.8,0.8,0.0
7.2,0.2,1004248.0,4687395.2,139284.0,389700.8,8.8,0.0,9.6,23829.6,17823.8,36015.8,32.0,61.8,5.4,0.4,0.0
7.4,0.2,1717703.2,3771054.4,139304.0,387134.4,58.4,231842.4,58.4,251289.6,14431.4,24333.6,31.2,64.2,3.6,1.0,0.0
8.0,0.2,996116.0,4571113.6,139348.0,387220.0,23.2,0.0,23.2,28240.0,18212.6,35238.8,35.2,59.2,5.0,0.8,0.0
9.8,0.0,995763.2,3993478.4,139371.2,382312.8,24.8,0.0,48.8,27152.8,16411.4,33262.0,40.6,54.2,4.6,0.2,0.0
7.2,0.2,1749660.0,3812058.4,139404.8,384927.2,4.8,202872.8,4.8,220924.0,14590.2,26822.0,36.4,59.8,3.2,0.8,0.0
7.2,0.0,995162.4,4285392.0,139416.0,391728.0,17.6,0.0,22.4,28546.4,16876.0,35884.8,40.4,54.0,5.2,1.0,0.0
6.0,0.2,994834.4,4569188.8,139421.6,386225.6,8.8,0.0,8.8,27706.4,18569.6,36886.8,37.8,56.2,5.2,0.8,0.0
7.6,0.6,994618.4,4935820.0,139424.0,389679.2,61.6,0.0,61.6,27178.4,17501.4,34741.6,39.6,54.0,5.6,0.8,0.0
7.8,0.4,994355.2,5266380.0,139428.0,386872.8,56.8,0.0,56.8,27397.6,16981.0,33913.2,40.6,53.4,5.4,0.8,0.0
7.6,0.2,994231.2,5430030.4,139452.0,392936.0,21.6,0.0,22.4,27903.2,16631.6,36183.4,37.8,56.2,5.6,0.4,0.0
7.2,0.2,993956.8,5326506.4,139456.0,388278.4,24.0,0.0,32.8,23381.6,16706.6,34348.2,41.4,52.6,5.0,1.0,0.0
6.4,0.4,993743.2,5443671.2,139460.8,385265.6,11.2,0.0,15.2,26854.4,17465.4,35404.2,44.8,50.0,4.6,0.6,0.0
8.8,0.4,993674.4,5509510.4,139472.0,385600.8,12.0,0.0,13.6,27019.2,17730.8,34727.0,43.2,50.8,5.6,1.0,0.0
7.6,0.2,1123848.8,5728236.0,139615.2,392441.6,2.4,93567.2,2.4,115934.4,16830.2,32639.4,40.0,54.4,5.0,1.0,0.0
7.4,0.4,993180.0,6204863.2,139624.0,382068.0,3.2,0.0,6.4,25065.6,16927.6,32525.2,41.0,53.0,5.2,0.8,0.0
7.0,0.4,1006484.8,6265362.4,139624.0,392204.0,3.2,13484.0,90.4,40927.2,17850.2,32584.6,36.2,58.6,4.4,0.8,0.0
8.0,0.2,993252.0,6499528.8,139638.4,388733.6,13.6,21695.2,31.2,48982.4,16772.8,35767.8,42.2,52.0,4.6,0.8,0.0
7.0,1.4,1372675.2,133394.4,13027.2,228226.4,41648.8,142480.8,60018.2,157723.2,21377.8,28615.8,18.0,73.8,2.2,6.0,0.0
7.4,0.2,1084504.0,4333336.8,63785.6,309609.6,201.6,1125.6,5260.8,28778.4,17656.4,34390.0,28.4,64.8,5.8,1.2,0.0
7.4,0.2,1081585.6,3550847.2,117061.6,362760.0,3405.6,0.0,4803.2,28865.6,17743.2,35961.4,27.8,64.4,6.8,1.2,0.0
5.8,0.4,1080766.4,4479919.2,131730.4,370032.0,12.8,0.0,12.8,28410.4,17859.4,36017.6,28.4,64.8,6.4,1.2,0.0
6.4,0.2,1080408.0,3789511.2,136017.6,372244.8,68.0,0.0,77.6,29159.2,16694.4,34184.0,29.8,62.8,7.0,1.0,0.0
6.4,0.2,1078974.4,2878761.6,137924.0,374836.8,37.6,0.0,51.2,28822.4,17153.4,35473.4,35.4,58.2,5.6,0.8,0.0
7.0,0.0,1078308.8,3630395.2,138259.2,379846.4,40.8,0.0,538.2,26968.0,17186.4,35478.0,29.8,63.0,6.4,1.0,0.0
7.0,0.0,1078104.0,4157628.8,138443.2,389679.2,22.4,0.0,26.4,28384.8,17443.6,36713.8,26.6,65.2,7.0,1.2,0.0
